Sr No.,Description,Model No,Buy Price,Unnamed: 4,Unnamed: 5,GST,MSRP,Updated Date,Remarks
AMX,,,,,,,,,
,,,INR,INR with Margin ,USD,,,,
1.0,HPX-600BL Hydraport 6 Module,AMX - FG560-01-BL,15501,20151.3,239.8964286,0.18,,,
2.0,HPX-N102-USB-PC-Dual USB,AMX - FG553-13,15502,20152.6,239.9119048,0.18,,,
3.0,HPX-N100-RJ45,AMX - FG553-01,15503,20153.9,239.927381,0.18,,,
4.0,HPX--B050,AMX - FG558-01,15504,20155.2,239.9428571,0.18,,,
5.0,AMX FG553-01,FG553-01,5120,6656,79.23809524,0.18,,,
6.0,Dual USB Module hpx-n102-USB-PC,FG553-13,8155,10601.5,126.2083333,0.18,,,
7.0,"HPX-B100,Hydraport blank panel 1M HE",FG558-02,1036,1346.8,16.03333333,0.18,,,
8.0,"HPX-BO50,Hydraport Blank Panel-1/2",FG558-01,824,1071.2,12.75238095,0.18,,,
9.0,HPX-600BL Table Box,FG560-01-BL,25000,32500,386.9047619,0.18,,2023-07-28 00:00:00,
10.0,HPX-P250-PC-IN power Module,FG561-41,8808,11450.4,136.3142857,0.18,,2023-05-05 00:00:00,
11.0,HPX-B050 Hydraport Blank Panel`,FG558-01,824,1071.2,12.75238095,0.18,,2023-08-12 00:00:00,
12.0,AV101-HDMI-R,FG552-24,18800,24440,290.952381,0.18,,2023-08-12 00:00:00,
13.0,"AMX MD-1002-BL,10"" Modero Wall Panel, Black",FG5969-49BL,135000,175500,2089.285714,0.18,,2024-09-08 00:00:00,
14.0,AMX MSA-MMK-43 Multi Mount Kit for 10 Modero S Series Wall Mount,FG2265-21,5500,7150,85.11904762,0.18,,2024-09-09 00:00:00,
15.0,"AMX MD-702-BL,7"" Modero Wall Panel, Black",FG5969-55BL,108500,141050,1679.166667,0.18,,2024-09-10 00:00:00,
16.0,"Multi Mount Kit for 7"" Modero Series Wall Mount Touch Panel",FG2265-22,24500,31850,379.1666667,0.18,,2024-09-11 00:00:00,
17.0,AMX NX-1200 NetLinx NX Integrated Controller,FG2106-01,88000,114400,1361.904762,0.18,,2024-09-12 00:00:00,
18.0,AMX PSR5.4 12 V DC/5.4A power supply,FG423-48-EK,17500,22750,270.8333333,0.18,,2024-09-13 00:00:00,
19.0,AMX AVB-VSTYLE-RMK V Style Module Rack Mounting Tray,FG1010-721-01,11000,14300,170.2380952,0.18,,2024-09-14 00:00:00, 
20.0,"AMX EXB-IO8 ICSLan Input/Output Interface, 8 Channels",FG2100-21,35850,46605,554.8214286,0.18,,2024-09-15 00:00:00, 
