Sr No,Description,Model No,Buy Price,Unnamed: 4,Unnamed: 5,MSRP,GST,Updated Date,Remarks
APPLE,,,,,,,,,
,,,INR,INR with Margin ,USD,,,,
1.0,10.9 inch IPad Wi-Fi 64GB - Silver,MPQ03HN/A,26275,34157.5,406.6369048,0.0,0.18,2025-07-14 00:00:00,
2.0,"ASUS NUC 14 Pro Tall Full System Mini PC with Intel 14th
Gen Core Ultra 7 155H, 32GB DDR5 RAM, 1TB PCIe G4x4 
NVMe SSD, Thunderbolt 4,Win 11 Pro, Toolless Chassis Access,
VESA Mount Included",ASUS NUC 14 Pro,113000,146900,1748.809524,0.0,0.18,2025-07-14 00:00:00,
3.0,,,0,0,0,0.0,0.18,,
4.0,,,0,0,0,0.0,0.18,,
5.0,,,0,0,0,0.0,0.18,,
6.0,,,0,0,0,0.0,0.18,,
7.0,,,0,0,0,0.0,0.18,,
8.0,,,0,0,0,0.0,0.18,,
9.0,,,,,,,,,
