Sr No.,Description,Model No,Buy Price,Unnamed: 4,Unnamed: 5,GST,MSRP,Updated Date,Remarks
ATEN,,,,,,,,,
,,,INR,INR with Margin ,USD,,,,
1.0,ATEN 8 x 8 True 4K HDMI Matrix Switch,VM0808HB,164000,213200,2538.095238,0.18,,,
2.0,"True 4K HDMI Repeater with 
Audio Embedder and De-Embedder",VC882,14900,19370,230.5952381,0.18,,,
3.0,10 m USB3.1 Gen1 Extender Cable,UE3310,8700,11310,134.6428571,0.18,,,
4.0,Aten HDMI HDbase T kite Extender,Aten VE802,28000,36400,433.3333333,0.18,,2023-09-04 00:00:00,
5.0,Aten 4X4 4K HDMi Matrix Switch,Aten VM0404HA,50500,65650,781.547619,0.18,,2023-09-16 00:00:00,
6.0,Aten 4 Port 4K HDMI Switch,Aten VS481B,6700,8710,103.6904762,0.18,,2023-11-04 00:00:00,
7.0,Aten Audio to HDMI Convertor,Aten VC182,19000,24700,294.047619,0.18,,2023-11-30 00:00:00,
8.0,15M USB 3.1 Gen1 Extender,UE3315,14000,18200,216.6666667,0.18,,2024-02-05 00:00:00,
9.0,"4K HDMI/DVI to HDMI Converter with 
Audio De-embedder 
",VC881,17680,22984,273.6190476,0.18,,2024-02-05 00:00:00,
10.0,Aten 3.1 Cable with Equillizer,Aten UE350A,2900,3770,44.88095238,0.18,,2024-06-17 00:00:00,
11.0,4x4 USB 3.2 Gen 1 Industrial Hub Switch,Aten US3344i-AT-I,18000,23400,278.5714286,0.18,,2024-06-17 00:00:00,
12.0,USB Cable 10 Mtr,Aten UE3310-AT-I,7750,10075,119.9404762,0.18,,,
13.0,10m USB Extender Cable,Aten - UE3310,7750,10075,119.9404762,0.18,,,
14.0,4x4 4K HDMI Matrix Switcher,Aten - VM0404HA,47000,61100,727.3809524,0.18,,,
15.0,8X8 True 4k HDMI Matrix switch,Aten VM0808HB,157000,204100,2429.761905,0.18,,,
16.0,2 port 4K HDMI Splitter,Aten VS182A,6500,8450,100.5952381,0.18,,,
17.0,4 Port 4K HDMI Splitter,Aten VS184A,10300,13390,159.4047619,0.18,,,
18.0,4 Port True 4K HDMI Switch with Dual,Aten VS482B,29900,38870,462.7380952,0.18,,,
19.0,10M USB 3.1 Gen1 Extender,Aten UE3310,7600,9880,117.6190476,0.18,,,
20.0,HDMI Repeater Plus audio de-embedder,Aten VC880,10900,14170,168.6904762,0.18,,,
21.0,4 Port 4K HDMI Splitter,Aten VS184A,10300,13390,159.4047619,0.18,,,
22.0,5 Mtr USB Extender Cable,Aten UE350A,2900,3770,44.88095238,0.18,,,
23.0,8 Port True 4K HDMI Splitter,Aten VS0108HB,42500,55250,657.7380952,0.18,,,
24.0,4 port 4K Hdmi splitter,Aten VS184A,12000,15600,185.7142857,0.18,,2023-09-04 00:00:00,
25.0,4 port 4K Hdmi switch,Aten VA481B,6700,8710,103.6904762,0.18,,2023-09-04 00:00:00,
26.0,2 port 4K HDMI Splitter,Aten VS182A,7200,9360,111.4285714,0.18,,2024-01-09 00:00:00,
27.0,4 port 4K HDMI switch,VS481B,6700,8710,103.6904762,0.18,,,
28.0,HDMI HDbase Extender,VE811,31500,40950,487.5,0.18,,,
29.0,4 Port 4K HDMI splitter,VS184A,15000,19500,232.1428571,0.18,,,  
