Ashton Bentley,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Ashton Bentley & Lutron,,,,,,,,,
,,,,,,,,,
Sr No.,Description,Model No,Buy Price,,,GST,MSRP,Updated Date,Remarks
,,,INR,INR with Margin ,USD,,,,
1,Ashton Bentley 55-65 Floor-to-Wall Chassis,900-00534,,269410.05,3169.53,0.18,,,
2,Ashton Bentley 43-55-65-75 Single-Dual Free Standing Base,900-00529,,,,0.18,,,
3,Ashton Bentley 75 Floor-to-Wall Chassis,900-00577,,,,0.18,,,
4,Ashton Bentley 86 Floor to Wall Chassis (US/UK/EU/IND),900-00471,,,,0.18,,,
5,,,,,,0.18,,,
6,Ashton Bentley 86 Jointing Kit 15 degree,900-00505,,,,0.18,,,
7,86-98 Single-Dual Freestanding Base (for 86/98/105 and Large Universal Chassis),900-00508,,,,0.18,,,
8,QSC AD-S802T Speaker Bracket Set for 86/98 and Large Universal Chassis,900-00587,,,,0.18,,,
9,TP6 Shaped 3 section VC table for 6,900-00619,,,,0.18,,,
10,Large Universal Floor-to-Wall Chassis,900-00539,,,,0.18,,,
11,Large Universal Floor-to-Wall Chassis Rail Mount Kit,900-00611,,,,0.18,,,
12,"Twin 75"" Display Mount Kit",900-00605,,,,0.18,,,
13,700mm Floor Standing Camera Mount for Large Universal Chassis,900-00589,,,,0.18,,,
14,Ashton Bentley USB-C & HDMI Video Extender Kit,900-00555,,,,0.18,,,
15,Ashton Bentley 2.5m Locking USB-C Input Cable,115-00065,,,,0.18,,,
16,Ashton Bentley 2.8m Locking HDMI Input Cable,115-00066,,,,0.18,,,
17,Ashton Bentley BX/VX USB-C Charging PSU (100W),900-00586,,,,0.18,,,
18,TP4 Two Section 4 Seat Table Surface,900-00618,,,,0.18,,,
19,TP6 Three Section 6 Seat Table Surface - special for AZ,990-00001,,,,0.18,,,
20,Top Plate for TP End Leg Assembly,900-00621,,,,0.18,,,
21,Top Plate for TP Middle Leg Assembly,900-00644,,,,0.18,,,
22,Cable Tray Beam Assembly for Single Section of  TP Tables,900-00622,,,,0.18,,,
23,Vanity Panel Kit for Single Section of TP tables,900-00623,,,,0.18,,,
24,,,,,,,,,
25,,,,,,,,,
26,,,,,,,,,
27,,,,,,,,,
28,,,,,,,,,
29,,,,,,,,,
30,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Lutron,,,,,,,,,
,,,,,,,,,
Sr No.,Description,Model No,Buy Price,,,GST,MSRP,Updated Date,Remarks
,,,INR,INR with Margin ,USD,,,,
1,"Conference Room dimming solution
This includes below:
1 No. of Single Link Processor (QP-1L) + Power Supply (QS-PS-DH-1-75) (This is required for programming and integration)
Single Link DALI module for 64 DALI lights. 
Wired SeeTouch 10 Button Keypad 
30 mtr QS link Lutron communication cable. ","QP-1L
QS-PS-DH-1-75
QSNE-1DALUNV-D
QSWE-10BRLN
QS-LSZH-CBL",325000,422500,5029.761905,0.18,,2025-07-14 00:00:00,
2,"1 No. of Dual Link Processor (QP-2L) with Power Supply (QS-PS-DH-1-75)
1 No. of Dual Link DALI Module for 64 DALI lights (QSN-2DAL UNV-D)
1 No. of Wired SeeTouch 10-Button Keypad (QSWE-10BRLN) – Polymer finish (Black or White, as per requirement)
30 mtr QS link Lutron communication cable. (QS-LSZH-CBL)
Installation & Programming - 1 Set","QP-2L
QS-PS-DH-1-75
QSN-2DAL UNV-D
QSWE-10BRLN
QS-LSZH-CBL",594000,772200,9192.857143,0.18,,2025-07-14 00:00:00,
3,,,0,0,0,0.18,,,
4,,,0,0,0,0.18,,,
5,,,0,0,0,0.18,,,
6,,,0,0,0,0.18,,,
7,,,0,0,0,0.18,,,
8,,,0,0,0,0.18,,,
9,,,0,0,0,0.18,,,
10,,,0,0,0,0.18,,,
11,,,0,0,0,0.18,,,
12,,,0,0,0,0.18,,,
13,,,0,0,0,0.18,,,
14,,,0,0,0,0.18,,,
15,,,0,0,0,0.18,,,
16,,,0,0,0,0.18,,,
17,,,0,0,0,0.18,,,
18,,,0,0,0,0.18,,,
19,,,0,0,0,0.18,,,
20,,,0,0,0,0.18,,,
