Sr No.,Description,Model No,Buy Price,Unnamed: 4,Unnamed: 5,GST,MSRP,Updated Date,Remarks
 Audio Technica,,,,,,,,,
,,,INR,INR with Margin ,USD,,,,
1.0,Audio Technica - system 20 pro - handheld mic,ATW-T1402,22750,29575,352.0833333,0.18,,2025-02-20 00:00:00,
2.0,"Audio Technica - system 20 pro - headworn 
bodypack microphone ",ATW-T1401 + ATM75/CW,30860,40118,477.5952381,0.18,,2025-02-20 00:00:00,
3.0,Audio Technica - quad receiver ,ATW-R1440,55580,72254,860.1666667,0.18,,2025-02-20 00:00:00,
4.0,Audio Technica - system 10 pro - Dual handheld mic,ATW-1322,60070,78091,929.6547619,0.18,,2025-02-20 00:00:00,
5.0,Audio Technica - system 10 pro - Dual bodypack,ATW-1311,60070,78091,929.6547619,0.18,,2025-02-20 00:00:00,
6.0,Audio Technica Headworn Module,ATM75/CW,9970,12961,154.297619,0.18,,2025-02-20 00:00:00,
7.0,Handheld microphone, ATW-2120C,33150,43095,513.0357143,0.18,,2025-07-14 00:00:00,
8.0,Bodypack Microphone,ATW-2110C,29250,38025,452.6785714,0.18,,2025-07-14 00:00:00,
9.0,Collar mic attachment,AT829CW,4490,5837,69.48809524,0.18,,2025-07-14 00:00:00,
10.0,Head worn mic attachment,PRO92CW,18850,24505,291.7261905,0.18,,2025-07-14 00:00:00,
11.0,UHF Wide-band Directional LPDA Antennas, ATW-A49,25350,32955,392.3214286,0.18,,2025-07-14 00:00:00,
12.0,Antenna Combiner, ATW-SC410,22850,29705,353.6309524,0.18,,2025-04-28 00:00:00,
13.0,Antenna Cable,RG58L- 30 M,22000,28600,340.4761905,0.18,,2025-04-28 00:00:00,
14.0,Wireless Handheld Microphone ,ATW-13HH2,18200,23660,281.6666667,0.18,,2025-04-23 00:00:00,
15.0,Wireless Headworn Microphone,ATW-11HH2 +PRO92CW,33480,43524,518.1428571,0.18,,2025-04-23 00:00:00,
16.0,Wireless Lapel Microphone,ATW-11HH2 + AT829CW,19780,25714,306.1190476,0.18,,2025-04-23 00:00:00,
17.0,Wireless Handheld Microphone System, ATW-3212/C510,48830,63479,755.702381,0.18,,2025-04-19 00:00:00,
18.0,Wireless Lavalier Microphone System,ATW-3211 + AT831cH,54830,71279,848.5595238,0.18,,2025-04-20 00:00:00,
19.0,UHF Antenna Distribution System, ATW-DA49a,43400,56420,671.6666667,0.18,,2025-07-14 00:00:00,
20.0," ATW-11HH2 - AT-One Beltpack system , ATM75/CW Cardioid 
Condenser Headworn Microphone",ATW-11HH2 + ATM75/CW,26220,34086,405.7857143,0.18,,2025-04-22 00:00:00,
21.0,Wireless Gooseneck Mic,"ATW-T1406 + ATW-R1440 
+ U859QL + AT8153",97640,126932,1511.095238,0.18,,2025-07-14 00:00:00,
22.0,Wired Stage Vocal Microphone,ATM510,7280,9464,112.6666667,0.18,,2025-07-14 00:00:00,
23.0,,,0,0,0,0.18,,,
24.0,,,0,0,0,0.18,,,
25.0,,,0,0,0,0.18,,,
26.0,,,0,0,0,0.18,,,
27.0,,,0,0,0,0.18,,,
28.0,,,0,0,0,0.18,,,
29.0,,,0,0,0,0.18,,,
30.0,,,0,0,0,0.18,,,
31.0,,,0,0,0,0.18,,,
32.0,,,0,0,0,0.18,,,
33.0,,,0,0,0,0.18,,,
34.0,,,0,0,0,0.18,,,
35.0,,,0,0,0,0.18,,,
36.0,,,0,0,0,0.18,,,
37.0,,,0,0,0,0.18,,,
38.0,,,0,0,0,0.18,,,
39.0,,,0,0,0,0.18,,,
40.0,,,0,0,0,0.18,,,
