BenQ ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
Sr No.,Description,Model No,Updated Date,Remarks
,,,,
1,"75 IR interactive 450 nits, TV panel, 3840x2160 UHD,
 BenQ unique ID, IR 20 points touch, Built-inSPK 16W*2,
Front I/O, Eye-care mode (Low Blue Light, Flicker-free), 
EZWrite 5,MDA, DMS, New Launcher/UI, 848 platform, 
Android 8.0 embedded, 4 GB RAM,32 GB Storage, 1,5 GhZ Processor",RP7502,,
2,"86 IR interactive 400 nits, TV panel, 3840x2160 UHD, BenQ unique ID, 
IR 20 points touch, Built-inSPK 16W*2,Front I/O, Eye-care mode 
(Low Blue Light, Flicker-free), EZWrite 5,MDA, DMS, New Launcher/UI, 
848 platform, Android 8.0 embedded, 4 GB RAM,32 GB Storage,
 1,5 GhZ Processor",RP8602,,
3,"98"" IR interactive 400 nits, TV panel, 3840x2160 UHD, BenQ unique ID,
 IR 20 points touch, Built-inSPK 15W*2,Front I/O, Eye-care mode 
(Low Blue Light, Flicker-free), EZWrite 5,MDA, DMS, New Launcher/UI,
 848 platform, Android 8.0 embedded, 3 GB RAM,",RE9801,,
4,"32 GB Storage, 1,5 GhZ Processor",,,
5,"65inch Capacitive Interactive X 2 320 nits, UHD, P-cap ultimate
 touch(metal mesh), Smart Eye-Care, Germ-Resistant",CP6501K,,
6,"Screen, AMS 2.0, DMS, New launcher/UI, EZWrite 6.0, Voice assistant,
 Air quality sensor (CO2), Wireless presentation, Array mic, Recording, 
X-Sign for corporate,NFC for Windows / Android-embedded log on, 
Built-in camera, Recording, 320 nits,4GB RAM, 32GB Storage, 
Android 8.0, 1.5 GhZ Processor",,,
7,Ultra Shot throw Projector,MW855UST+,,
8,"Pen touch – 2 pend offered ( PW
 Supports 30U ) upto 10 Pens writing simultaneously
 - Driver free function
 - Ultra Fast 0.016 sec response time for smooth writing experience",Pen touch,,
9,4000 lumens WXGA ( 1 year or 1000 lamp hours ),MW560,,
10,Full HD Projector,MH733,,
11,"5000 lumens WUXGA (16:10)( 10,000 hours Laser source )",LU930,,
12,"6000 lumens WUXGA (16:10)( 10,000 hours Laser source )",LU935,,
,,,,
ViewSonic,,,,
,,,,
Sr No.,Description,Model No,Updated Date,Remarks
,,,,
1,Viewsonic Projector,LS610HDHE,,
2,Viewsonic Projector,LS710HD,,
3,Viewsonic Interactive display,IFP7533,,
4,Viewsonic Interactive display,IFP7533,,
5,Viewsonic Interactive display,IFP7533,,
6,Viewsonic,LS711HD Projector,,
7,3800 Lumens WXGA LED Projector,Viewsonic LS500WP,,
8,4200 Lumens WXGA LED Projector,Viewsonic LS510WP,,
9,4200 Lumens WXGA LED Projector,Viewsonic LS510WP,,
10,LED WXGA Long Throw,LS500WP,,
11,LED WXGA Short Throw,LS550WHE,,
12,LED WXGA Long Throw,LS610WHE,,
13,LED Full HD Long Throw,LS610HDHE,,
14,Luminous Superior Laser Series,LS740W,,
15,ViewSonic LS740HD 1080P DLP Laser Projector,LS740HD,2025-01-07 00:00:00,
16,Laser Installation Series- Long Throw,LS751HD,,
17,Viewsonic Projector,LS850WU,,
18,Viewsonic Projector,LS920WU,,
19,Laser Installation Series-Short Throw,LS710HD,,
20,Viewsonic Projector,LS860WU,,
21,Viewsonic Projector,LS921WU,,
22,"110"" UHD 4K Touchscreen Commercial Monitor",IFP110,,
23,"6,000 ANSI Lumens WUXGA Short Throw Laser Projector",LSC601WU-ST,26/6/2025,
24,"ViewSonic 4K projector
Brightness: 5000–7000 lumens, Screen Size Support: 500"" to 700""",LS950-4K,2025-07-09 00:00:00,
25,,,,
26,,,,
27,,,,
28,,,,
29,,,,
30,,,,
