Sr No.,Description,Model No,Updated Date,Remarks
,,,,
1.0,"Meeting Room DSP with 4 integrated PoE+ ports. AVB & Dante, 2x2 analog I/O, Stereo USB and 16 channels of AEC. Includes Biamp Launch automatic discovery and tuning",TesiraFORTE X 1600,,
2.0,"REVAMP2150 is two-channel digital power amplifier
 with 2x165 watts dynamic output power@4 ohms",Amplifier REVAMO2150,,
3.0,"TesiraFORTÉ AI is a digital audio server (fixed audio I/O DSP) 
and includes up to 8 channels of configurable USB audio.",Tesira Forte AI,,
4.0,"Digital audio server with 4 analog inputs and 4 analog outputs, 
and includes Acoustic Echo Cancellation (AEC) technology ",TesiraFORTÉ AVB VT4,,
5.0,PoE AVB/USB expander with Bluetooth® wireless technology,Tesira EX-UBT,,
6.0,"Ceiling tile bridge for Tesira TCM plenum boxes
 (all models) and Devio DCM-1 plenum box",TB-1,,
7.0,"2 Way Ceiling Speaker with 30-Watt Max Power with
 transformer tapping option of 70 V and 100 V",Apart CM20T,,
8.0,"Wall mount speakers - 6 "" inches model",MASK6CT-BL,,
9.0,"2 Channel class D amplifier 2 x 120 Watts  
(70/100 Volts or RMS @ 8 Ohms)",REVAMP2120T,,
10.0,4 Channel Power Amplifier with 100 W. per Ch. Output,Apart Revamp 4120T,,
11.0,Channel amplifier 4x240 watts model,REVAMP4240T,,
12.0,"Fixed I/O DSP with 12 analog inputs, 8 analog outputs, 8 channels 
configurable USB audio, AEC technology (all 12 inputs), 
2 channel VoIP, and standard FXO telephone interface",Tesira Forte VT,,
13.0,"Fixed I/O DSP with 12 analog inputs, 8 analog outputs, 
8 channels configurable USB audio, 
and Acoustic Echo Cancellation (AEC) technology (all 12 inputs)",Tesira Forte CI,2025-05-06 00:00:00,
14.0,"Meeting Room DSP with 4 integrated PoE+ ports. 
AVB & Dante, 2x2 analog I/O, Stereo USB and 8 channels of AEC. 
Includes Biamp Launch automatic discovery and tuning",TesiraFORTÉ X 800​,,
15.0,5-port expansion device,TesiraCONNECT TC-5,,
16.0,Mounting bracket for TesiraCONNECT TC-5,TesiraCONNECT Bracket,,
