Sr No.,Product type,Product name,Product code,Description,SELL Price,Unnamed: 6,Unnamed: 7,Updated Date,Remarks
CUE,,,,,,,,,
,,,,,INR,Dealer USD ($),Dealer USD with Margin,,
1.0,Cloud service,CUE SaaS,CS0622,Cloud service annual fee - price must be calculated,-,CALL,CALL,,
2.0,Software license,CUE Solution,CS0604,Mandatory annual license to run CUE Solution,49200,410,533,,
3.0,Software license,Resource Basic,CS0640,Annual license for resource - typically shop,2760,23,29.9,,
4.0,Software license,Resource Standard,CS0641,Annual license for resource - typically workplace,3360,28,36.4,,
5.0,Software license,Resource Premium,CS0600,Annual license for resource - typically meeting room,16560,138,179.4,,
6.0,Software license,POI Basic,CS0642,Annual license for QR code - typically navigation start,1680,14,18.2,,
7.0,Software license,POI Standard,CS0621,Annual license for POI - target navigation point,3360,28,36.4,,
8.0,Software license,Kiosk Basic,CS0637,Annual license for one kiosk app instance,41400,345,448.5,,
9.0,Software license,Kiosk Standard,CS0638,Annual license for one kiosk app instance,75840,632,821.6,,
10.0,Software license,Kiosk Premium,CS0639,Annual license for one kiosk app instance,103440,862,1120.6,,
11.0,Control application,appCUE,CS0485,"Phone, tablet, or PC as a control panel",48480,404,525.2,,
12.0,Control application,webCUE,CS0605,"Phone, tablet, or PC as a control & reservation panel",20520,171,222.3,,
13.0,Programming tool,Cue Visual Composer,PT0007,Control applications programming tool,#VALUE!,FOC,FOC,,
14.0,Touch panel,touchCUE-5-knob,CS0627,"5"" wired touch panel with rotary knob and buttons",137160,1143,1485.9,,
15.0,Touch panel,touchCUE-7,CS0451,"7"" wired tabletop touch panel",265800,2215,2879.5,,
16.0,Touch panel,touchCUE-7-M,CS0539,"7"" wired on-wall touch panel",253200,2110,2743,,
17.0,Touch panel,touchCUE-7-B,CS0452,"7"" wired built-in touch panel",253200,2110,2743,,
18.0,Touch panel,touchCUE-10-W,CS0564,"10.1"" wired on-wall touch panel",306360,2553,3318.9,,
19.0,Touch panel,touchCUE-10,CS0559,"10.1"" wired tabletop touch panel",316560,2638,3429.4,,
20.0,Touch panel,touchCUE-10-M,CS0561,"10.1"" wired on-wall touch panel",297840,2482,3226.6,,
21.0,Touch panel,touchCUE-10-B,CS0560,"10.1"" wired built-in touch panel",297840,2482,3226.6,,
22.0,Touch panel,touchCUE-12,CS0466,"12.1"" wired tabletop touch panel",475440,3962,5150.6,,
23.0,Touch panel,touchCUE-12-M,CS0540,"12.1"" wired on-wall touch panel",443400,3695,4803.5,,
24.0,Touch panel,touchCUE-12-B,CS0467,"12.1"" wired built-in touch panel",443400,3695,4803.5,,
25.0,Control set,liteCUE-basic,CS0588-9006,Control set with white aluminium button keypad,107520,896,1164.8,,
26.0,Control set,liteCUE-basic,CS0588-9003,Control set with signal white button keypad,107520,896,1164.8,,
27.0,Control set,liteCUE-tap,CS0593,Control set with touch-screen keypad,146760,1223,1589.9,,
28.0,Control set,liteCUE-web,CS0608,Control set with webCUE license,119640,997,1296.1,,
29.0,Featured controller,controlCUE-basic,CS0552,Cost-effective room controller,98160,818,1063.4,,
30.0,Featured controller,controlCUE-three,CS0595,High-end Ethernet IP-enabled controller,150600,1255,1631.5,,
31.0,Featured controller,signCUE-two,CS0592,Controller & graphic player,208800,1740,2262,,
