SI NO.,CUSTOMER ITEM NO.,GOODS DESCRIPTION,Unnamed: 3,Unnamed: 4,PACKAGE,QTY,UNIT,MRP in INR
CableTime UK,,,,,,,,
,,DESCRIPTION,COLOR,LENGTH,,,,
,,,,,,,,
1.0,ALL-CT-C160-PU31-CMHDFn1-S0.2,"PREMIUM USB TYPE C TO HDMI Adapter, SUPPORT AUDIO-VIDEO 4K/60HZ ,USB3.1 COX cable 36-34 WITH BRAIDING, Gold plated,with Alumium housing, Printing CABLETIME+4K/60HZ WORDS , FLEXIBLE PVC+NYLON JACKET , RoHS",SILVER,0.2M,1pc/cabletime color box,50.0,PCS,28800.0
2.0,ALL-CT-AV311-P11F-SG1,"Premium Stereo 3.5mm Cable M/F 28AWG-CU, gold plated with Space Grey Alumium Cover, , Matt Flexible Black PVC Jacket+nylon , RoHS",Space Grey,1.0m,1pc/cabletime bag -S,3.0,PCS,3503.0
3.0,ALL-CT-CMCM60-GEN1-AG1,Alumium USB-C to USB-C PD60W Gen1 Cable,Black,1.0M,1pc/cabletime BAG-S,3.0,PCS,8039.0
4.0,ALL-CT-CMCF60-GEN1-AG0.5,"Alumium USB-C to USB-C PD60W Gen1 USB3.0 Extension Cable, Type-C Male to Female Nickle Plated, Transmition Rate: 5Gbps, Power: 60W, 3A/20V, Video Resolution: 4K60Hz Max, Wire: (1P*1/0.20BC+D+AL)*4+11/0.16TC*2C+1/0.20BC*6C+AL+1/0.20BC+16/5/0.08TC, Jacket: Matted TPE OD4.3mm, Shell: Space Grey Aliumium Housing, Certificate: CE, ROHS2, REACH",Black,0.5m,1pc/cabletime bag -S,3.0,PCS,7787.0
5.0,ALL-CT-HVC-AS,"HDMI Audio/ Video Capture,1080p for teaching, Recording, Acquistion . 1. Input: HDMI Female Support 4K Max
 
 2. Input: Resolution: 3840×2160@60Hz Max
 
 3. Output: USB2.0 Male Blue Insolutation, Nickle-plated
 
 4. Output Resolution: 1920×1080@30Hz Max， Silve Alum Housing , RoHS",SILVER GREY,,1pc/cabletime BOX,20.0,PCS,57600.0
6.0,ALL-CT-C160-PU33-CMAF(OTG)-ASG,"Adapter USB-C Male to USB3.0 A Female,,3.0v-5Gbps, Charging & Data, Nickle plated with Space Grey Alumium Housing, RoHS",SPACE GREY,,1pc/cabletime BOX,3.0,PCS,2646.0
7.0,ALL-CT-C160-PU33-CFAM(OTG)-ASG,"Adapter USB-C Female to USB3.0 A Male,,3.0v-5Gbps, Charging & Data, Nickle plated with Space Grey Alumium Housing, RoHS",SPACE GREY,,1pc/cabletime BOX,3.0,PCS,2747.0
8.0,ALL-CT-C160-PU32-CFMcB-ASG,"Adapter USB-C Female to USB2.0 Micro B Male, Charging & Data,2.0version, Nickle plated with Space Grey Alumium Housing, RoHS",SPACE GREY,,1pc/cabletime BOX,3.0,PCS,2646.0
9.0,ALL-CT-C160-PU32-CMMcBF-ASG,"Adapter USB-C Male to USB2.0 Micro B Female, Charging & Data,2.0version, Nickle plated with Space Grey Alumium Housing, RoHS",SPACE GREY,,1pc/cabletime BOX,3.0,PCS,2243.0
10.0,ALL-CT-C160-PU31-CMHD2-S1.8,"PREMIUM USB TYPE C TO HDMI CABLE, SUPPORT AUDIO-VIDEO 4K/60HZ ,34/32/24AWG WITH BRAIDING, Gold plated,with Alumium housing, Printing CABLETIME+4K/60HZ WORDS , Matt Flexible TPE Jacket , RoHS",BLACK,1.8M,1pc/cabletime BOX,50.0,PCS,25200.0
11.0,ALL-CT-C160-PU32-CMAMn1-S1,"PREMIUM USB C TO USB2.0 AM DATA & SYNC Cable，2.0vesion 30-22AWG, support 3A charging , Nickle plated with Alumium Housing , titanium Silver Color, with Nylon Jacket OD3.9mm, RoHS/Reach",SILVER,1.0m,1pc/cabletime BAG-S,3.0,PCS,3906.0
12.0,ALL-CT-HAVC3-AB,"USB3.0 TO HDMI 4K VIDEO CAPTURE, BLACK 
 
 
 
 1. HDMI A\F TO HDMI A\F + USB3.0 A\F + Audio +Mic
 
 2. Input: HDMI Female Support 4K Max
 
 3. Output: USB3.0, support YUY2/MJPG video form, 1920×1080, 60FPS Max
 
 4.Chipset: VS2828+VS9989+IT66021FN+IT66121FN+ CS4344+WM8960
 
 5. Support HDMI loop out 1920×1080@60Hz 
 
 6. Support microphone audio input,3.5 stereo output.
 
 7. Support microphone audio and hdmi audio superimpose capture.
 
 8. Support most acquisition software,such as VLC, OBS, Amcap, etc.
 
 9.Suppport Windows、Android and Macos.
 
 10.Comply with USB video UVC specification and USB audio UAC specification.
 
 11.Shell: Black Aluminum+Red LED
 
 12. USB3.0 Wire Length: 50cm",BLACK,,1pc/cabletime BOX,25.0,PCS,122400.0
13.0,ALL-CT-AV586-P01G4k60(R)-SG0.15,"PREMIUM Cabletime MINI Displayport to HDMI HDTV Adapter Cable, MINI DP to HDMI Audio Video Cable SUPPORT4K/60HZ 1080P Compatible for Latest PC, Monitor , Projectors, Displays ,Black WITH LED, WITH RING",Space Grey,0.2M,1pc/cabletime BOX,100.0,PCS,25200.0
14.0,ALL-CT-CML1000-AG,USB-C to RJ45 1000Mbps Enternet Adapter,space grey,15CM,1pc/cabletime BOX,3.0,PCS,20387.0
15.0,ALL-CT-AML1000-AG,"USB-3.0 A to RJ45 1000Mbps Enternet Adapter, Space Grey",space grey,15CM,1pc/cabletime BOX,3.0,PCS,20135.0
