Sr No.,Description,Model No,Buy Price,Unnamed: 4,Unnamed: 5,GST,MSRP,Updated Date,Remarks
Chief,,,,,,,,,
,,,INR,INR with Margin ,USD,,,,
1.0,"SINGLE CEILING MOUNT, MEDIUM, BLACK",MCM1U,21032,27341.6,325.4952381,0.18,,,
2.0,"ADJ. PIPE 36"" TO 60""",CMS0305,12061,15679.3,186.6583333,0.18,,,
3.0,CMA-110 FLAT CEILING PLATE,CMA110,4872,6333.6,75.4,0.18,,,
4.0,M8 x 50MM HARDWARE SCREWS,FHB5147,929,1207.7,14.37738095,0.18,,,
5.0,Elite Universal Ceiling Mount for Projectors (White),RPMAUW,18235,23705.5,282.2083333,0.18,,,
6.0,"C"" Speed-Connect Fixed Extension Column (White)",CMS003W,1351,1756.3,20.90833333,0.18,,,
7.0," 6-9"" Speed-Connect Adjustable Extension Column (White)",CMS006009W,4840,6292,74.9047619,0.18,,,
8.0,"1-1/2""NPT COUPLER White",CMA270W,1970,2561,30.48809524,0.18,,,
9.0,Chief CMA-640 Finishing Ring (White),CMA640W,1069,1389.7,16.54404762,0.18,,,
10.0,VIDEO WALL PORTRAIT MOUNTING SYSTEM WITH RAILS,LVS1UP,49680,64584,768.8571429,0.18,,,
11.0,COMPONENT STORAGE PANEL,CSMP9X12,3257,4234.1,50.40595238,0.18,,,
12.0,FUSION X-Large Dual Pole Flat Panel Ceiling Mount,XCM7000,67344,87547.2,1042.228571,0.18,,,
13.0,"Large Fusion Manual Height Adjustable Mobile AV
 Cart (Black)",LPAUB,85394,111012.2,1321.57381,0.18,,,
14.0,Medium Confidence Monitor Cart 2',MFQUB,49680,64584,768.8571429,0.18,,,
15.0,Component Storage anel Interface,CSSMP15X10,13716,17830.8,212.2714286,0.18,,,
16.0,Chief Wall Mount,LSMU,15252,19827.6,236.0428571,0.18,,,
17.0,FUSION WALL MOUNT PULL-OUT ACCESSORY, FCAV1U,22582,29356.6,349.4833333,0.18,,2025-06-23 00:00:00,
18.0,Large Thinstall Dual-Swing-Arm Wall Mount,TS525TU,39944,51927.2,618.1809524,0.18,,,
19.0,Proximity Component Storage Slide-Lock Panel,CSSLP15X10,11813,15356.9,182.8202381,0.18,,,
20.0,arge Fusion® Micro-Adjustable Tilt Wall Mount,Chief LTM1U,22441,29173.3,347.3011905,0.18,,,
21.0,Thinstall Dual Swing-Arm Wall Mount,TS218SU,19404,25225.2,300.3,0.18,,,
22.0,"Fusion Series Fixed Wall Mount for 32 to 65"" Displays",MSM1U,11230,14599,173.797619,0.18,,2025-06-04 00:00:00,
23.0,Medium Fusion® Micro-Adjustable Tilt Wall Mount,MTM1U,13354,17360.2,206.6690476,0.18,,2025-06-04 00:00:00,
24.0,ConnexSys Video Wall Landscape Mounting System with Rail,LVS1U,57139,74280.7,884.2940476,0.18,,,
25.0,FUSION Large Flat Panel Ceiling Mount (Black),LCM1U,23998,31197.4,371.397619,0.18,,,
26.0,Chief X-Large Fusion Micro-Adjustable Tilt Wall Mount,XTM1U,26099,33928.7,403.9130952,0.18,,,
27.0,Chief Fusion™ Extra-Large Pull Out Accessory,FCAXV1U,38033,49442.9,588.6059524,0.18,,,
28.0,Chief Proximity® Component Storage Slide-Lock Panel,CSSLP15X10,11674,15176.2,180.6690476,0.18,,,
29.0,Chief Small Fusion tilt wall mount single stud,STMS1U,11067,14387.1,171.275,0.18,,,
31.0,Component storage panel-removable,CSPR,11069,14389.7,171.3059524,0.18,,,
32.0,"Fusion Center Speaker Bracket, XL Displays",FCA842,11644,15137.2,180.2047619,0.18,,,
33.0,Fusion Connector Kit - 16 inch ,FCK016,3883,5047.9,60.09404762,0.18,,,
34.0,"Fusion Center Channel Speaker, Large Displays",FCA830,10153,13198.9,157.1297619,0.18,,,
35.0,"FUSION™ 18"" LOWER COMPONENT/VC SHELF",FCA500,10080,13104,156,0.18,,,
36.0,Fusion CPU Extender Accessory,FCA113,17040,22152,263.7142857,0.18,,,
