Sr No.,Description,Model No,Buy Price,Unnamed: 4,Unnamed: 5,GST,MSRP,Updated Date,Remarks
Cisco,,,,,,,,,
,,,INR,INR with Margin ,USD,,,,
1.0,CISCO CABLE,MPN: SG350-10 MP-K9-NA,31500,40950,487.5,0.18,,,
2.0,Cisco Netwrok Switch,Cisco CBS110-8OO-D-NA,13750,17875,212.797619,0.18,,2023-10-20 00:00:00,
3.0,Cisco network Switch,CBS350-8FP-2G,30500,39650,472.0238095,0.18,,2023-12-20 00:00:00,
4.0,Cisco network Switch,Network switch,19500,25350,301.7857143,0.18,,2024-05-20 00:00:00,
5.0,Additional Wireless Access point,Cisco CBW240AC-D,25900,33670,400.8333333,0.18,,2023-10-20 00:00:00,
6.0,Wireless access point,Cisco-CBW150AX-D-IN,12000,15600,185.7142857,0.18,,2024-01-11 00:00:00,
7.0,Cisco Spark Room Kit,CS-KIT-K9,230000,299000,3559.52381,0.18,,,
8.0,Telepresence Precision 60 Camera,CTS-CAM-P60,195000,253500,3017.857143,0.18,,,
9.0,"WEBEX CODEC PLUS KIT, P60 CAMERA AND TOUCH 10",CS-KITP60-K9,390000,507000,6035.714286,0.18,,,
10.0,"VIDEO ACCESSORIES, CISCO L-KITPLUS-MS MULTISITE OPTION FOR CISCO ROOM KIT PLUS",L-KITPLUS-MS,42000,54600,650,0.18,,,
11.0,"VC EQUIPMENT, CISCO CS-KIT-MINI-K9 ROOM KIT MINI",CS-KIT-MINI-K9,130000,169000,2011.904762,0.18,,,
12.0,Mounting kit for CS-KIT-MINI-K9 codec (monitor mounting kit),CS-KIT-MINI-SMK,5000,6500,77.38095238,0.18,,,
13.0,Cisco Multisite licenses for CS-KIT-MINI-K9,L-KITMINI-MS,40000,52000,619.047619,0.18,,,
14.0,Cisco Remote Monitoring licenses for CS-KIT-MINI-K9 & CS-KITP60-K9 & CS-KIT-K9,L-KIT-RM,4000,5200,61.9047619,0.18,,,
15.0,"VIDEO ACCESSORIES, CISCO L-KITPRO-MS MULTISITE OPTION FOR CISCO ROOM KIT PRO",L-KITPRO-MS,55000,71500,851.1904762,0.18,,,
16.0,"VC EQUIPMENT, CISCO CS-KITPRO-P60-K9 WEBEX ROOM KIT PRO W/ P60 CAMERA",CS-KITPRO-P60-K9,665000,864500,10291.66667,0.18,,,
17.0,"For WebEx codec Pro with p60 - VIDEO ACCESSORIES, SPARK ROOM KIT MS OPTION",L-KIT-MS,42000,54600,650,0.18,,,
18.0,24 Port Network Switch,WSC-2960L-24ps-ap,75000,97500,1160.714286,0.18,,,
19.0,24 Port Network Switch,C9300L-24P-4G-E,220000,286000,3404.761905,0.18,,,
20.0,,CON-SNT for 1 Year,20350,26455,314.9404762,0.18,,,
21.0,10 Port Network Switch,SG350-10P,18000,23400,278.5714286,0.18,,,
22.0,"Room Kit Mini with microphone array, speakers and Touch 10",CS-KIT-MINI-K9,230000,299000,3559.52381,0.18,,,
23.0,"Room Kit with integrated microphone, speakers and Touch 10, 1 year support",CS-KIT-K9,475000,617500,7351.190476,0.18,,,
24.0,"Room Kit Plus w/Codec Plus, Quad Camera and Touch 10 and 1 year service",CS-KITPLUS-K9,935000,1215500,14470.2381,0.18,,,
25.0,"55"" interactive all-in-one device, 4K camera, 12-microphone array, HDMI input, 3.5-mm mini jack audio out (line out), USB-C for Touch Redirect, USB micro (service) and 1 year service",CS-BOARD55S-G-K9,760363,988471.9,11767.52262,0.18,,,
26.0,"Room Kit Plus w/Codec Plus, Quad Camera and Touch 10.",CS-KITPLUS-K9,650000,845000,10059.52381,0.18,,,
27.0,"SNTC-8X5XNBD Room Kit Plus w/Codec Plus, Quad Camera - 12 Months",CON-SNT-CSKITPLU,125000,162500,1934.52381,0.18,,,
28.0,Cisco Quad Camera,CS-QUADCAM+,-,-,,0.18,,,
29.0,"Powersupply - AC/DC, 12V, 6.25A, grey",PSU-12VDC-70W-GR+,-,-,,0.18,,,
30.0,Wall mounting bracket for Quad Camera,BRKT-QCAM-WMK-,-,-,,0.18,,,
31.0,Cisco Touch10 controller for collaboration endpoints,CS-TOUCH10+,-,-,,0.18,,,
32.0,Network cable (ethernet) 8 meter,CAB-DV10-8M+,-,-,,0.18,,,
33.0,Spark Room Kit Codec Plus for Auto Expand,CS-CODEC-PLUS+,-,-,,0.18,,,
34.0,Cisco Webex Room Navigator - Table stand version,CS-T10-TS+,-,-,,0.18,,,
35.0,"Room Kit with integrated microphone, speakers and Touch 10",CS-KIT-K9,275000,357500,4255.952381,0.18,,,
36.0,ESS WITH 8X5XNBD Spark Room Kit with Touch10 - 12 Months,CON-ECDN-CSKITK9,80000,104000,1238.095238,0.18,,,
37.0,"CAB (16,4 feet / 5m) GREY ETHERNET",CAB-ETH-5M-GR-,-,-,,0.18,,,
38.0,"Powersupply - AC/DC, 12V, 6.25A, grey",PSU-12VDC-70W-GR-,-,-,,0.18,,,
39.0,Wall Mount for Cisco Spark Kit,CS-KIT-WMK-,-,-,,0.18,,,
40.0,Cisco Touch10 controller for collaboration endpoints,CS-TOUCH10+,-,-,,0.18,,,
41.0,Screen Mount for Cisco Spark Kit,CS-KIT-SMK-,-,-,,0.18,,,
42.0,8 meter flat grey Ethernet cable for Touch 10,CAB-DV10-8M-,-,-,,0.18,,,
43.0,Touch PoE power injector,CS-POE-INJ+,-,-,,0.18,,,
44.0,"Room Kit with integrated microphone, speakers and Touch 10",CS-KIT-K9,240000,312000,3714.285714,0.18,,,
45.0,ESS WITH 8X5XNBD Spark Room Kit with Touch10 - 12 months,CON-ECDN-CSKITK9,35000,45500,541.6666667,0.18,,,
46.0,"CAB (16,4 feet / 5m) GREY ETHERNET",CAB-ETH-5M-GR-,-,-,,0.18,,,
47.0,"Power supply - AC/DC, 12V, 6.25A, grey",PSU-12VDC-70W-GR-,-,-,,0.18,,,
48.0,Wall Mount for Cisco Spark Kit,CS-KIT-WMK-,-,-,,0.18,,,
49.0,Cisco Touch10 controller for collaboration endpoints,CS-TOUCH10+,-,-,,0.18,,,
50.0,Screen Mount for Cisco Spark Kit,CS-KIT-SMK-,-,-,,0.18,,,
51.0,8 meter flat grey Ethernet cable for Touch 10,CAB-DV10-8M-,-,-,,0.18,,,
52.0,Touch PoE power injector,CS-POE-INJ+,-,-,,0.18,,,
53.0,Extension cable for the table microphone,CAB-MIC-EXT-J,2500,3250,38.69047619,0.18,,,
54.0,Cisco Table Microphone with Jack plug,CS-MIC-TABLE-J,13500,17550,208.9285714,0.18,,,
55.0,ESS WITH 8X5XNBD Cisco Table Microphone with Jack plug - 12 months,CON-ECDN-CSMICTMP,3000,3900,46.42857143,0.18,,,
56.0,"Room Kit Plus w/Codec Plus, Quad Camera and Touch 10.",CS-KITPLUS-K9,500000,650000,7738.095238,0.18,,,
57.0,"ESS WITH 8X5XNBD Spark Kit Plus w/Codec Plus, Quad Camera - 12 Months",CON-ECDN-CSKITPLU,-,-,,0.18,,,
58.0,Cisco Quad Camera,CS-QUADCAM+,-,-,,0.18,,,
59.0,"Power supply - AC/DC, 12V, 6.25A, grey",PSU-12VDC-70W-GR-,-,-,,0.18,,,
60.0,Wall Mount Kit for Codec Plus,CS-KITPLUS-WMK,5500,7150,85.11904762,0.18,,,
61.0,Wall mounting bracket for Quad Camera,BRKT-QCAM-WMK-,-,-,,0.18,,,
62.0,Cisco Touch10 controller for collaboration endpoints,CS-TOUCH10+,-,-,,0.18,,,
63.0,Network cable (ethernet) 8 meter,CAB-DV10-8M-,-,-,,0.18,,,
64.0,Spark Room Kit Codec Plus for Auto Expand,CS-CODEC-PLUS+,-,-,,0.18,,,
65.0,Cisco Table Microphone with Jack plug,CS-MIC-TABLE-J,15500,20150,239.8809524,0.18,,,
66.0,ESS WITH 8X5XNBD Cisco Table Microphone with Jack plug - 12 Months,CON-ECDN-CSMICTMP,3000,3900,46.42857143,0.18,,,
67.0,Extension cable for the table microphone,CAB-MIC-EXT-J,2800,3640,43.33333333,0.18,,,
68.0,"Cisco Webex Room Kit Pro - Codec, Quad Cam, Touch 10 – GPL",CS-KITPRO-K9,938000,1219400,14516.66667,0.18,,,
69.0,ESS WITH 8X5XNBD Room Kit Pro with Quad Camera and Touch - 12 Months,CON-ECDN-CSKITPO9,143000,185900,2213.095238,0.18,,,
