CRESTRON - DEALER PRICE LIST - 10th January 2025,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
Crestron,,,,,,,,,,,,,,,,
Sr. No,DESCRIPTION,Model No,MODEL Details,SELL Price,,,GST,MSRP USD ($),Updated Date,Remarks,,,,,,
,,,,INR,Dealer USD ($),Dealer USD with Margin,,,,,,,,,,
1,USB-to-Ethernet Adapter for Audio Isolation,6512671,ADPT-USB3.0-GBENET,5280,44,57.2,0.18,88,"All products 
price updated on
April 2025
",,,,,,,
2,USB-to-Ethernet Adapter,6511496,ADPT-USB-ENET,3720,31,40.3,0.18,62,,,,,,,,
3,"AirMedia® Receiver 3000 with Wi-Fi® Network Connectivity, International",6513019,AM-3000-WF-I,72600,605,786.5,0.18,1210,,,,,,,,
4,"AirMedia® Receiver 3100 with Wi-Fi® Network Connectivity, International",6511541,AM-3100-WF-I,108960,908,1180.4,0.18,1816,,,,,,,,
5,"AirMedia® Series 3 Kit with AM-3100-WF Receiver and AM-TX3-100 Adaptor, International",6513425,AM3-111-I KIT,161760,1348,1752.4,0.18,2696,,,,,,,,
6,AirMedia® Receiver 3200,6511482,AM-3200,159720,1331,1730.3,0.18,2662,,SAROS ICI4T-W-T-EACH,,,,,,
7,"AirMedia® Receiver 3200, Government Version",6513188,AM-3200-GV,191400,1595,2073.5,0.18,3190,,,,,,,,
8,"AirMedia® Receiver 3200 with Wi-Fi® Network Connectivity, International",6511484,AM-3200-WF-I,167040,1392,1809.6,0.18,2784,,,,,,,,
9,"AirMedia® Series 3 Kit with AM-3200-WF Receiver, two AM-TX3-100 Adaptors, and Cradle, International",6513437,AM3-212-I KIT,272640,2272,2953.6,0.18,4544,,,,,,,,
10,"4-Channel Power Amplifier, 600W/Ch.",6508361,AMP-4600,254160,2118,2753.4,0.18,4236,,,,,,,,
11,"8-Channel Power Amplifier, 150W/Ch., 4/8 Ohm or 100V, International, 220-240V",6507875,AMPI-8150,275880,2299,2988.7,0.18,4598,,,,,,,,
12,Plenum Kit for Crestron X-Series Audio Amplifiers,6510957,AMP-PNMK,9960,83,107.9,0.18,166,,,,,,,,
13,"X-Series Amplifier, 1000 W",6511744,AMP-X1000,125400,1045,1358.5,0.18,2090,,,,,,,,-
14,"X-Series Amplifier, 300 W",6510866,AMP-X300,58080,484,629.2,0.18,968,,,,,,,,
15,"X-Series Amplifier, 500 W",6511742,AMP-X500,99000,825,1072.5,0.18,1650,,,,,,,,
16,"X-Series Media Presentation Amplifier, 50 W",6511106,AMP-X50MP,32760,273,354.9,0.180000000000001,546,,,,,,,,
17,"X-Series Amplifier, 75 W",6511136,AMP-X75,38160,318,413.4,0.180000000000001,636,,,,,,,,
18,"X-Series Amplifier, 750 W",6511743,AMP-X750,112200,935,1215.5,0.180000000000001,1870,,,,,,,,
19,Tabletop Cradle for up to four AM-TX3-100 Adaptors,6512130,AM-TX3-100-CRADLE,10560,88,114.4,0.180000000000001,176,,,,,,,,
20,"AirMedia® Series 3 Connect Adaptor, International",6511528,AM-TX3-100-I,52800,440,572,0.180000000000001,880,,,,,,,,
21,10 ft Antenna Extender,6504416,ANT-EXT-10,8760,73,94.9,0.180000000000001,146,,,,,,,,
22,Audio over CAT5 Extender for One Unbalanced Stereo Signal,6506783,AUD-EXT-100,21840,182,236.6,0.180000000000001,364,,,,,,,,
