Sr No.,Description,Model No,Buy Price,Unnamed: 4,Unnamed: 5,GST,MSRP,Updated Date,Remarks
DTEN,,,,,,,,,
,,,INR,INR with Margin ,USD,,,,
1.0,DTEN ME Pro,DBA0027-S1,0,0,0,0.28,192999.0,2025-07-07 00:00:00,Zoom
2.0,"DTEN D7X 55"" (Windows)",DB71455,0,0,0,0.28,870000.0,,Zoom
3.0,"DTEN D7X 75"" (Windows)",DB71475,0,0,0,0.28,1469999.0,,Zoom
4.0,"DTEN D7X 55"" (Android)",DBR1455,439400,571220,6800.238095,0.28,779999.0,2025-07-28 00:00:00,Zoom & Teams
5.0,"DTEN D7X 75"" (Android)",DBR1475,728400,946920,11272.85714,0.28,1289999.0,2025-07-28 00:00:00,Zoom & Teams
6.0,"D7X 75"" Dual (Windows)",DB71475DSE-VC460-S1,0,0,0,0.28,2849999.0,,Zoom
7.0,"DTEN Onboard 55"" (Android)",DBR1455E-WB,0,0,0,0.28,549999.0,,Zoom
8.0,DTEN ME Vesa Mount,DBKT10027,0,0,0,0.18,7999.0,,
9.0,DTEN ME Stand,DAS0127,0,0,0,0.18,16999.0,,
10.0,DTEN Vue Pro,DAVCS01-S1,151249,196623.7,2340.758333,0.18,274999.0,2025-07-28 00:00:00,Zoom & Teams
11.0,DTEN Mate with Dock (PoE),DBA13310,68450,88985,1059.345238,0.18,123999.0,2025-07-28 00:00:00,Zoom & Teams
12.0,DTEN Mate with Dock (WiFi),DBA13310,0,0,0,0.18,109999.0,,Zoom
13.0,DTEN BAR,DCR200WD-LC,0,0,0,0.18,209500.0,2025-07-07 00:00:00,Zoom & Teams
14.0,DTEN Stylus,DP03,0,0,0,0.18,5999.0,,
15.0,DTEN BAR + Mate,DCR200 + DBA13310,269300,350090,4167.738095,0.18,,2025-07-28 00:00:00,
16.0,DTEN BAR BYOD,DCR200ED-LC,112450,146185,1740.297619,0.18,,2025-07-28 00:00:00,
