Dali,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
Sr No.,Description,Model No,Updated Date,Remarks
,,,,
1,Dali Controller,"DALI
 QSNE-2DAL-D",,
2,"Din Dali Interface,2 LOOP",DIN - DALI - 2,,
,,,,
Inogeni ,,,,
,,,,
Sr No.,Description,Model No,Updated Date,Remarks
,,,,
1,USB 3.0 devices to 2 PCs switcher,Toggle ,2025-05-03 00:00:00,
2,3G-SDI to USB 3.0 video converter,SDI2USB3 ,,
3,HDMI to USB Converter,Inogeni 4K2USB3,2025-07-07 00:00:00,
4,	INOGENI 4KX-Plus HDMI to USB 3.0 Converter,4KX-PLUS,2025-06-26 00:00:00,
,,,,
APC,,,,
,,,,
Sr No.,Description,Model No,Updated Date,Remarks
,,,,
1,NetShelter Switched Rack PDU,AP7921B,2025-05-05 00:00:00,
