DELL,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Dell & Heckler,,,,,,,,,
,,,,,,,,,
Sr No.,Description,Model No,Buy Price,,,GST,MSRP,Updated Date,Remarks
,,,INR,INR with Margin ,USD,,,,
1,Wireless Key board+Mouse,Dell KM3322W,1250,1625,19.3452381,0.18,,,
2,Interactive touch Moniter,Dell 75 4K,315000,409500,4875,0.28,,,
3,Desktop,Dell Optimex 3090,48000,62400,742.8571429,0.18,,,
4,Desktop,Dell Opti 7080,51500,66950,797.0238095,0.18,,,
5,Dell Wireless Keyboard and Mouse ,KM3322W,1250,1625,19.3452381,0.18,,,
6,Dell,OptiPlex 5000 Micro XCTO,60000,78000,928.5714286,0.18,,,
7,Dell mount,MNT-ODD-MFF-D9,8500,11050,131.547619,0.18,,2023-09-13 00:00:00,
,,,,,,,,,
HECKLER,,,,,,,,,
,,,,,,,,,
Sr No.,Description,Model No,Buy Price,,,GST,MSRP,Updated Date,Remarks
,,,INR,INR with Margin ,USD,,,,
1,Heckler AV Cart for Logitech Rally Bar - Black Grey,H730-BG,159000,206700,2460.714286,0.18,,,
2,Portrait Stand for iPad 10th Generation,H759X-BG,13440,17472,208,0.18,,,
3,PoE to USB-C Power and Data Adapter,T519,9660,12558,149.5,0.18,,,
4,USB-C Right Angle Adapter,T525,840,1092,13,0.18,,,
5,Heckler AV Credenza 4U - Black Grey,H735-BG,151800,197340,2349.285714,0.18,,2025-02-25 00:00:00,
6,Heckler ADA Panel Pair 24X24 - Black Grey,H806A-BG,8175,10627.5,126.5178571,0.18,,2025-02-25 00:00:00,
