DELL,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
Sr No.,Description,Model No,Updated Date,Remarks
,,,,
1,Wireless Key board+Mouse,Dell KM3322W,,
2,Interactive touch Moniter,Dell 75 4K,,
3,Desktop,Dell Optimex 3090,,
4,Desktop,Dell Opti 7080,,
5,Dell Wireless Keyboard and Mouse ,KM3322W,,
6,Dell,OptiPlex 5000 Micro XCTO,,
7,Dell mount,MNT-ODD-MFF-D9,2023-09-13 00:00:00,
,,,,
HECKLER,,,,
,,,,
Sr No.,Description,Model No,Updated Date,Remarks
,,,,
1,Heckler AV Cart for Logitech Rally Bar - Black Grey,H730-BG,,
2,Portrait Stand for iPad 10th Generation,H759X-BG,,
3,PoE to USB-C Power and Data Adapter,T519,,
4,USB-C Right Angle Adapter,T525,,
5,Heckler AV Credenza 4U - Black Grey,H735-BG,2025-02-25 00:00:00,
6,Heckler ADA Panel Pair 24X24 - Black Grey,H806A-BG,2025-02-25 00:00:00,
