Sr No.,Description,Model No,Buy Price,Unnamed: 4,Unnamed: 5,GST,MSRP,Updated Date,Remarks
Epson,,,,,,,,,
,,,INR,INR with Margin ,USD,,,,
1.0,Epson EB-E01 XGA 3LCD Projector,EB-E01 Business Projector,,,0,0.28,38999,,
2.0,Epson CO-W01 WXGA Projector,CO-W01 Business Projector,,,,0.28,44999,,
3.0,Epson EB-W06 WXGA 3LCD Projector,EB-W06 Business Projector,,,,0.28,60999,,
4.0,Epson EB-FH06 Full HD 1080p projector,EB-FH06 Business Projector,,,,0.28,810999,,
5.0,Epson EB-X49 3LCD Projector,EB-X49 Business Projector,,,,0.28,54999,,
6.0,Epson EB-W49 WXGA 3LCD Projector,EB-W49 Business Projector,,,,0.28,64999,,
7.0,Epson EB-972 XGA 3LCD Projector,EB-972 Business Projector,,,,0.28,720999,,
8.0,Epson EB-982W WXGA 3LCD Projector,EB-982W Business Projector,,,,0.28,76999,,
9.0,Epson EB-992F FULL HD 3LCD Projector,EB-992F Business Projector,,,,0.28,121999,,
10.0,Epson 1795F Wireless Full-HD Portable 3LCD Projector,EB-1795F Business Projector,,,,0.28,104999,,
11.0,Ultra-Short Throw Interactive WXGA 3LCD Projector,EB-685Wi Business Projector,,,,0.28,140999,,
12.0,Ultra-Short Throw Interactive WXGA 3LCD Projector,EB-695Wi Business Projector,,,,0.28,166999,,
13.0, Full HD Standard-Throw Laser Projector with Built-in Wireless,EB-L260F Business Projector,,,,0.28,248999,,
14.0, WXGA Standard-Throw Laser Projector with Built-in Wireless,EB-L210W Business Projector,,,,0.28,186999,,
15.0, Wireless Full HD Short Throw Laser Projector,EB-L210SF Business Projector,,,,0.28,235999,,
16.0,Wireless WXGA Short Throw Laser Projector,EB-L210SW Business Projector,,,,0.28,169999,,
17.0,Epson EB-760W WXGA 3LCD Laser Projector,EB-760W Business Projector,,,,0.28,169999,,
18.0,Epson EB-760Wi WXGA 3LCD Laser Projector,EB-760Wi Business Projector,,,,0.28,221999,,
19.0,Full HD 3LCD Laser Projector,EB-770F Business Projector,,,,0.28,284999,,
