Extron pricelist drive link- https://docs.google.com/spreadsheets/d/1V2sjY4C5fK7a3ri32zxymZrhKaiDBU74/edit?usp=drive_link&ouid=115637406728694488059&rtpof=true&sd=true,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Extron,,,,,,,,,,
,,,,,,,,,,
Sr No.,Description,Part No,Model No.,Buy Price,,,GST,MSRP,Updated Date,Remarks
,,,,INR,USD,USD with Margin,,,,
1,Four Input USB Switcher with Emulation,60-954-02,SW4 USB Plus,73320,611,794.3,0.18,,,
2,"Cable Cubby 500, Black, No AC",70-1045-02,Cable Cubby 500,27360,228,296.4,0.18,,,
3,"AC Module, Multi-Region",60-1385-10,AC 102 MULTI,22200,185,240.5,0.18,,,
4,HDMI Twisted Pair Transmitter - 230 feet (70 m),60-1271-12,DTP HDMI 4K 230 Tx,43200,360,468,0.18,,,
5,HDMI Twisted Pair Receiver - 230 feet (70 m),60-1271-13,DTP HDMI 4K 230 Rx,43200,360,468,0.18,,,
6,4K Premium High Speed HDMI Ultra-Flexible Cable - 15' (4.5 m),26-663-15,HDMI Ultra/15,7920,66,85.8,0.18,,,
7,"Cable Cubby 1202 Black, AC Module Not Included",70-1184-02,Cable Cubby 1202,35640,297,386.1,0.18,,,
8,"AC Module, Multi-Region",60-1385-10,AC 102 MULTI,22200,185,240.5,0.18,,,
9,"4K/60 USB-C male to HDMI female, 6"" (15 cm)",26-752-01,USBC-HDF4K60/0.5,10800,90,117,0.18,,,
10,4K HDMI and Audio to USB Scaling Bridge,60-1873-01,MediaPort 300,332760,2773,3604.9,0.18,,,
11,4K Premium High Speed HDMI Ultra-Flexible Cable - 15' (4.5 m),26-663-15,HDMI Ultra/15,7920,66,85.8,0.18,,,
12,HDMI Premium High Speed Optical Cable 25' (7.6 m) - Plenum,26-726-25,HD Pro P/25,27240,227,295.1,0.18,,,
13,HDMI Premium High Speed Optical Cable 35' (10.6 m) - Plenum,26-726-35,HD Pro P/35,30960,258,335.4,0.18,,,
14,USB-C® 8K/30 Video Optical Cables with High-Speed Data and 60 W Power Delivery 15' (4.5 m),26-748-15,USBC Pro 8K/15,11400,95,123.5,0.18,,,
15,USB-C® 8K/30 Video Optical Cables with High-Speed Data and 60 W Power Delivery 25' (7.6 m),26-748-25,USBC Pro 8K/25,12720,106,137.8,0.18,,,
16,USB-C® 8K/30 Video Optical Cables with High-Speed Data and 60 W Power Delivery 30' (9.1 m),26-748-30,USBC Pro 8K/30,13920,116,150.8,0.18,,,
17,USB-C® 5 Gbps Optical Cables with 4K/30 Video and 60 W Power Delivery 15' (4.5 m),26-741-15,USBC Pro/15,25320,211,274.3,0.18,,,
18,USB-C® 5 Gbps Optical Cables with 4K/30 Video and 60 W Power Delivery 25' (7.6 m),26-741-25,USBC Pro/25,29160,243,315.9,0.18,,,
19,USB-C® 5 Gbps Optical Cables with 4K/30 Video and 60 W Power Delivery 30' (9.1 m),26-741-30,USBC Pro/30,30360,253,328.9,0.18,,,
20,"Cable Cubby 500, Black, No AC",70-1045-02,70-1045-02,30240,252,327.6,0.18,,,
21,Retractable HDMI; 3 feet (90 cm),70-1065-04,70-1065-04,39600,330,429,0.18,,,
22,Retractable 4K USB-C to USB-C; 3 feet (90 cm),70-1065-55,70-1065-55,54000,450,585,0.18,,,
23,Retractor USB-C Power,70-1065-50,70-1065-50,42480,354,460.2,0.18,,,
24,Retractor Filler Module,70-1065-35,70-1065-35,6240,52,67.6,0.18,,,
25,Blank Plate Single,70-090-11,70-090-11,2040,17,22.1,0.18,,,
26,AC+USB 311 Multi,60-1782-10,60-1782-10,39600,330,429,0.18,,,
27,Cable Cover Small,70-1080-03,70-1080-03,10800,90,117,0.18,,,
28,Retractor Horizontal Mounting Bracket Kit,70-678-00,70-678-00,2640,22,28.6,0.18,,,
29,DA2 HD 4K PLUS,60-1607-01,60-1607-01,66960,558,725.4,0.18,,,
30,NetPA U 1004,60-1766-01,60-1766-01,215280,1794,2332.2,0.18,,,
31,DTP HDMI 4K 230 Tx,60-1271-12,60-1271-12,45120,376,488.8,0.18,,,
32,DTP HDMI 4K 330 Rx,60-1271-13,60-1271-13,45120,376,488.8,0.18,,,
33,"Extron Cable Cubby 1202 Black, AC Module Not Included",70-1184-02,70-1184-02,#VALUE!,#VALUE!,#VALUE!,0.18,,,
34,"Extron Cable Cubby 1402 Black, AC Module Not Included",70-1185-02,70-1185-02,#VALUE!,#VALUE!,#VALUE!,0.18,,,
35,"Extron AC 102 MULTI, AC Module Multi-Region","60-1385-02
(Retired, please consider the other replaced model)
60-1385-10
","60-1385-02
(Retired, please consider the other replaced model)
60-1385-10",#VALUE!,#VALUE!,#VALUE!,0.18,,,
36,Extron Under-Table Cable Bag for Cable Cubby 1200 and 1400,70-1080-02,70-1080-02,#VALUE!,#VALUE!,#VALUE!,0.18,,,
37,LockIt Adapter Tether; Package of 10,101-021-10,101-021-10,#VALUE!,#VALUE!,#VALUE!,0.18,,,
38,Extron Cable Cubby 1200/1200C/1202 Routing Template,70-1041-80,70-1041-80,#VALUE!,#VALUE!,#VALUE!,0.18,,,
39,Cable Cubby 1400/1402 Routing Template,70-1042-80,70-1042-80,#VALUE!,#VALUE!,#VALUE!,0.18,,,
40,"4K/60 USB-C male to HDMI female, 6"" (15 cm)","26-720-01
(Retired, please consider the other replaced model)
26-752-01
","26-720-01
(Retired, please consider the other replaced model)
26-752-01
",#VALUE!,#VALUE!,#VALUE!,0.18,,,
41,"Sw4 USB Plus, Four Input USB Switcher With Emulation",60-954-02,60-954-02,152640,1272,1653.6,0.18,,,
42,"MBU 125, 1/4 & 1/2 Rack Width, Under-Desk Mount Kit For Two-Piece Enclosure",70-077-01,70-077-01,7200,60,78,0.18,,,
43,1G Pro AV over IP Scaling Decoder - HDMI,60-1525-14,NAV SD 101,177960,1483,1927.9,0.18,,2025-02-27 00:00:00,
44,Passive Audio Summing Adapter with Stereo Mini Plug Input and Unbalanced Output,60-738-01,ASA 111,4920,41,53.3,0.18,,,
45,Passive Audio Summing Adapter with Captive Screw Plug Input and Balanced Output,60-740-01,ASA 131,4920,41,53.3,0.18,,,
46,1G Pro AV over IP Compact Encoder - HDMI,60-2040-01,NAV E 121,100080,834,1084.2,0.18,,,
47,NAVigator AVoIP System Manager for up to 16 End Points,60-1534-01,NAVigator,165600,1380,1794,0.18,,,
48,Onsite Commissioning of NAV System by Extron Engineer,03-024-01,NAV Commissioning Charges,300000,2500,3250,0.18,,,
49,IPCP Pro xi Quad Core Control Processor,60-1914-01A,IPCP Pro 255Q xi w/LL,248400,2070,2691,0.18,,,
50,"10"" Table Top Touch Panel - White",60-1565-13,TLP Pro 1025T - White,232560,1938,2519.4,0.18,,,
51,Twisted Pair Extender for USB Peripherals - Tx,60-1471-12,USB Extender Plus T,49200,410,533,0.18,,,
52,Twisted Pair Extender for USB Peripherals - Rx,60-1471-13,USB Extender Plus R,49200,410,533,0.18,,,
53,Universal XTP Transmitter for VGA,60-1231-12,XTP T VGA ,104400,870,1131,0.18,,,
Below all products price updated on May 2025,,,,,,,,,,
54,"Single Space AAP, Black",70-622-11,1 Cable Pass-through,3720,31,40.3,0.18,,,
55,"Single Space AAP, White",70-622-21,1 Cable Pass-through,3720,31,40.3,0.18,,,
56,"Single Space MAAP, Black",70-637-02,1 Cable Pass-through,3720,31,40.3,0.18,,,
57,"Single Space MAAP, White",70-637-03,1 Cable Pass-through,3720,31,40.3,0.18,,,
58,Cable Equalizer for 12G-SDI,60-1673-01,12G HD-SDI 101,58560,488,634.4,0.18,,,
59,VGA Female to Female Gender Changer,100-475-01,15HD GCF,6720,56,72.8,0.18,,,
60,15-pin HD VGA Male to Male Gender Changer,100-474-01,15HD GCM,6720,56,72.8,0.18,,,
61,"Single Space AAP, Black",70-636-02,2 Cable Pass-through,3720,31,40.3,0.18,,,
62,"Single Space AAP, White",70-636-03,2 Cable Pass-through,3720,31,40.3,0.18,,,
63,Full-size Flex55 Module; Black,70-1148-02,2 RJ-45 Openings,5280,44,57.2,0.18,,,
64,Full-size Flex55 Module; White,70-1148-03,2 RJ-45 Openings,5280,44,57.2,0.18,,,
65,RS-232 Cable: 9-pin D Male to Female - 12' (3.6 m),26-433-06,232/12,3120,26,33.8,0.18,,,
66,RS-232 Cable: 9-pin D Male to Female - 2' (60 cm),26-433-01,232/2,1680,14,18.2,0.18,,,
67,RS-232 Cable: 9-pin D Male to Female - 25' (7.6 m),26-433-07,232/25,3720,31,40.3,0.18,,,
68,RS-232 Cable: 9-pin D Male to Female - 50' (15.2 m),26-433-08,232/50,5280,44,57.2,0.18,,,
69,RS-232 Cable: 9-pin D Male to Female - 6' (1.8 m),26-433-03,232/6,1920,16,20.8,0.18,,,
70,LC to LC Laser-Optimized Multimode Fiber Optic Cable Assemblies - Plenum - 1 m (3.3’),26-671-01,2LC OM4 MM P/1,5520,46,59.8,0.18,,,
71,LC to LC Laser-Optimized Multimode Fiber Optic Cable Assemblies - Plenum - 10 m (32.8’),26-671-10,2LC OM4 MM P/10,9000,75,97.5,0.18,,,
