Jabra ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Jabra & MAXHUB,,,,,,,,,
,,,,,,,,,
Sr No.,Description,Model No,Buy Price,,,MSRP,GST,Updated Date,Remarks
,,,INR,INR with Margin ,USD,,,,
1,Jabra ,Jabra Panacast 50 India,125000,162500,1934.52381,,0.18,2023-12-06 00:00:00,
2,Jabra  PanaCast 50 Remote,Jabra Panacast Remote,5012,6515.6,77.56666667,,0.18,2023-12-06 00:00:00,
3,jabra speak 750MS USB/BT & link 370,Jabra-7700-309,34800,45240,538.5714286,,0.18,2024-01-12 00:00:00,
4,Jabra Panacast 50 Room System,Jabra MS P50,375000,487500,5803.571429,,0.18,2024-04-28 00:00:00,
5,"JABRA PANACAST MS, GLOBAL",8100-119,,0,,96047,0.18,,
6,JABRA PANACAST WALL MOUNT WALL MOUNT,14207-57,6049,7863.7,93.61547619,,0.18,,
7,"JABRA PANACAST 50 INDIA, BLACK with Wall Mount",8200-234,,0,,194479,0.18,,
8,"50 ROOM SYSTEM MS,P50IN CHGR,LENOVO IG KIT",8601-119,,0,,644458,0.18,,
9,"PANACAST50 V.BAR SYS.UC VB&TC,IN (V.COL.CAMERA)",8500-234,,0,,577794,0.18,,
,,,,,,,,,
MAXHUB,,,,,,,,,
,,,,,,,,,
Sr No.,Description,Model No,Buy Price,,,MSRP,GST,Updated Date,Remarks
,,,INR,INR with Margin ,USD,,,,
1,"98"" All-in-one Conference IFP , IR Touch ",MAXHUB C9850,595000,773500,9208.333333,,0.18,2025-05-05 00:00:00,
2,"75"" All-in-one Conference IFP , IR Touch - (Upto 50 Touch points)",MAXHUB V7550,323400,420420,5005,,0.18,2025-05-20 00:00:00,
3,"PC module , Windows Pre Loaded, CPU : 12th Gen Intel",MT71,52800,68640,817.1428571,,0.18,2025-05-05 00:00:00,
4,Stylus and Dongle Holder - Can contain 3 screen share,MAXHUB PB02 ,4500,5850,69.64285714,,0.18,2025-05-05 00:00:00,
5,Wireless Screen Sharing Dongle WT13,WT13M,26500,34450,410.1190476,,0.18,2025-05-20 00:00:00,
