Sr No.,Description,Model No,Buy Price,Unnamed: 4,Unnamed: 5,GST,MSRP,Updated Date,Remarks
Kramer,,,,,,,,,
,,,INR,INR with Margin ,USD,,,,
1.0,High Speed HDMI Male to Male Cable - 10.7 meters (35 Feet),C-MHM/MHM-25,11702,15212.6,181.102381,0.18,,,
2.0,Table Mount Modular Multi-Connection Solution - Tilt-Up Lid,TBUS-1Axl,17753,23078.9,274.7488095,0.18,,,
3.0,"1 Double power socket slot , 6 insert slot (include 4 blank & 2 cable passthrough insert",T1AF-26,7608,9890.4,117.7428571,0.18,,,
4.0,TBUS Dual Power Socket — Universal,TS-2U,5354,6960.2,82.85952381,0.18,,,
5.0,TBUS AC Power Cord — Right–Angle India 6ft 250V AC1.80m (6ft),C-AC/IN,564,733.2,8.728571429,0.18,,,
6.0,Wall Plate Insert — Dual Cable Pass–Through,WCP-2,2396,3114.8,37.08095238,0.18,,,
7.0,Wall Plate Insert — Dual USB Charger,W-2UC,14090,18317,218.0595238,0.18,,,
8.0,High–Speed HDMI Cable0.90m (3ft)4K@60Hz (4:4:4),C-HM/HM-3,2070,2691,32.03571429,0.18,,,
9.0,High–Speed HDMI Cable3.00m (10ft)4K@60Hz (4:4:4),C-HM/HM-10,2730,3549,42.25,0.18,,,
10.0,High–Speed HDMI Cable7.60m (25ft)4K@60Hz (4:2:0),C-HM/HM-25,5175,6727.5,80.08928571,0.18,,,
11.0,High–Speed HDMI Cable10.70m (35ft)4K@60Hz (4:2:0),C-HM/HM-35,7275,9457.5,112.5892857,0.18,,,
12.0,High–Speed HDMI Cable (25ft)4K@60Hz (4:4:4),C-HM/HM/PRO-25,8385,10900.5,129.7678571,0.18,,,
13.0,High–Speed HDMI Cable (50ft)4K@60Hz (4:4:4),C-HM/HM/PRO-50,15750,20475,243.75,0.18,,,
14.0,Included adapters: DisplayPort (M) to HDMI (F); Mini DisplayPort (M) to HDMI (F); Mini HDMI type–C (M) to HDMI (F),AD–RING–3,12915,16789.5,199.875,0.18,,,
15.0,USB 2.0 A (M) to A (M) Cable0.90m (3ft),C–USB/AA–3,450,585,6.964285714,0.18,,,
16.0,"USB 2.0 A (M) to A (M) Cable, 1.80m (6ft)",C–USB/AA–6,450,585,6.964285714,0.18,,,
17.0,"USB 2.0 C (M) to B (M) Cable, 1.80m (6ft)",C–USB/CB–6,1305,1696.5,20.19642857,0.18,,,
18.0,"USB Active Extender Cable,10.70m (35ft)",CA-UAM/UAF-35,5535,7195.5,85.66071429,0.18,,,
19.0,"Stereo Audio/Control Bulk Cable, Length — 300m (984ft)",BC-1T,98,127.4,1.516666667,0.18,,,per meter
20.0,"Stereo Audio/Control Bulk Cable, Length — 300m (984ft)",BC-2T,165,214.5,2.553571429,0.18,,,per meter
21.0,Premium High–Speed HDMI Cable3.00m (10ft)4K@60Hz (4:4:4),C-HM/HM-10,2730,3549,42.25,0.18,,,
22.0,High Speed HDMI™ Cable with Ethernet10.70m (35ft)4K@60Hz (4:2:0),HM/HM/PRO-35,11985,15580.5,185.4821429,0.18,,,
23.0,"Manual Rotating Desktop Interface with Female to Female Connectivity - 2 x Universal Power Socket, 2 x RJ45 Network, 1 x VGA, 1 x 3.5mm Audio Jack, 1 x HDMI 2.0V, 2 x USB Charger","TBUS-1-KWC(B)+ 
 T1AF-26+ TS-2U+ 
 C-AC/IN+ 
 W-2UC (B)+ 
 W4545 (B)+
  WXA-2P (B)+
  W-H(W-HDMI)(B)",86387,112303.1,1336.941667,0.18,,,
24.0,Standard HDMI (M) to HDMI (M) Cable 1.8m,C-HM/HM-6,2400,3120,37.14285714,0.18,,,
25.0,HDMI CABLE 15 FEET / 4.6 MTR,C-HM/HM-15,3525,4582.5,54.55357143,0.18,,,
