Sr No.,Description,Model No,Buy Price,Unnamed: 4,Unnamed: 5,GST,MSRP,Updated Date,Remarks
LG,,,,,,,,,
,,,INR,With Margin INR ,USD,,,,
1.0,"65"" UHD Signage Display ",65Um5N,78000,101400,1207.142857,0.28,,,
2.0,"65"" UHD Signage Display ",65UR640S,59500,77350,920.8333333,0.28,,,
3.0,65'' Professional UHD Display,65UR640S,66000,85800,1021.428571,0.28,,,
4.0,65'' Professional UHD Display,65UH5F,83000,107900,1284.52381,0.28,,,
5.0,65'' Professional UHD Display,65UH5C,80000,104000,1238.095238,0.28,,,
6.0,65'' Professional UHD Display,65UT640S,74200,96460,1148.333333,0.28,,,
7.0,65'' Professional UHD Display - Touch Interactive,65TR3DJ,110000,143000,1702.380952,0.28,,,
8.0,"55""Display",LG 55UR640S,38000,49400,588.0952381,0.28,,2025-04-01 00:00:00,
9.0,"50"" Display",LG 50UR640S,31000,40300,479.7619048,0.28,,,
10.0,"43"" Display",LG 43UR640S,25800,33540,399.2857143,0.28,,,
11.0,"75""Display",LG 75UR640S,110000,143000,1702.380952,0.28,,,
12.0,"86""Display",LG 86UR640S,184000,239200,2847.619048,0.28,,,
13.0,"98"" Display",LG 98UM5K,495000,643500,7660.714286,0.28,,,
14.0,"110"" Display",LG 110UM5K,1375000,1787500,21279.7619,0.28,,,
15.0,"86""Display",86UL3J-N,453600,589680,3780,0.28,,,
16.0,"Touchdisplay 55"" Display",55TR3DK-B,74000,96200,1131.764706,0.28,,2025-06-17 00:00:00,
17.0,"Touchdisplay 75"" Display",75TR3DK-B,96000,124800,1468.235294,0.28,,2025-06-17 00:00:00,
18.0,"Touchdisplay 98"" Display",98TR3DK-B,640000,832000,9788.235294,0.28,,2025-06-17 00:00:00,
19.0,"55"" Display",55UM5N,50000,65000,764.7058824,0.28,,2025-06-23 00:00:00,
20.0,"65"" Display",65UM5N,67000,87100,1024.705882,0.28,,,
21.0,"75"" Display",75UH5N,123000,159900,1881.176471,0.28,,,
22.0,"86""  Display",86UH5N,198000,257400,3028.235294,0.28,,,
23.0,"98"" Display",98UH5J,500000,650000,7647.058824,0.28,,,
24.0,"43""  UHD Signage",43UT801C,21000,27300,321.1764706,0.28,,2025-07-29 00:00:00,
25.0,"50"" 4K UHD TV",50UT801C,30000,39000,458.8235294,0.28,,2025-07-29 00:00:00,
26.0,"55"" 4K UHD TV",55UT801C,36000,46800,550.5882353,0.28,,2025-07-29 00:00:00,
27.0,"55"" webOS UHD Signage",55UL3J ,39000,50700,596.4705882,0.28,,2025-07-29 00:00:00,
28.0,"65"" UHD Signage ",65UT801C,48000,62400,734.1176471,0.28,,2025-07-29 00:00:00,
29.0,"86"" UHD TV ",86UT801C,158000,205400,2416.470588,0.28,,2025-07-29 00:00:00,
