Sr No.,Description,Model No,Buy Price,Unnamed: 4,Unnamed: 5,GST,MSRP,Updated Date,Remarks
LUMI,,,,,,,,,
,,,INR,INR with Margin ,USD,,,,
1.0,Extra Long Arm Full-Motion TV Wall Mount,LPA49-483XLD ,5300,6890,82.02380952,0.18,,,
2.0,Versatile & Compact Steel TV Cart,T1040T,6000,7800,92.85714286,0.18,,,
3.0,"Telescopic Height-Adjustable Steel TV Cart 
with Crank Handle",TTV03H-46TW,11500,14950,177.9761905,0.18,,,
4.0,Ultra-Modern Aluminum TV Cart,TTV12-46TW,16500,21450,255.3571429,0.18,,,
5.0,Slim Profile Fixed TV Wall Mount,"KL22-44F (32"" to 55"")",350,455,5.416666667,0.18,,,
6.0,X-Large Heavy-Duty Fixed TV Wall Mount,"LP42-69F (60"" to 100"")",1800,2340,27.85714286,0.18,,,
7.0,X-Large Heavy-duty Tilt TV Wall Mount,"LP37-810T (60"" to 100"")",3500,4550,54.16666667,0.18,,,
8.0,Landscape Video mount (Lumi),XTM1U,25116,32650.8,388.7,0.18,,,
9.0,Landscape Video mount (Lumi),LVW06-46T,6800,8840,105.2380952,0.18,,,
10.0,Lumi Swivel Bracket,LPA37-696,6800,8840,105.2380952,0.18,,2023-11-23 00:00:00,
11.0,Movable Trolley,Lumi - TTL03-610TW,15500,20150,239.8809524,0.18,,,
12.0,Ipad Stand,Lumi PAD33-03,2000,2600,30.95238095,0.18,,,
13.0,Heavy Full motion TV wall mount,Lumi LPA77-696,15000,19500,232.1428571,0.18,,,
14.0,"X Large Heavy duty full motion Curved & 
Flat panel TV wall mount",Lumi LPA37-696,45500,59150,704.1666667,0.18,,2023-09-04 00:00:00,
15.0,Heavy duty full motion TV wall mount,Lumi LPA77-696,6900,8970,106.7857143,0.18,,2023-09-04 00:00:00,
16.0,Ipad Mount,Lumi PAD34-01,2200,2860,34.04761905,0.18,,,
17.0,Slim Profile Fixed TV Wall Mount,KL22-22F,275,357.5,4.255952381,0.18,,2025-06-05 00:00:00,
18.0,Fixed TV Wall Mount,"KL22G-44F
",400,520,6.19047619,0.18,,,
19.0,Affordable Full-Motion TV Wall Mount for Double Stud,LPA63-446,1750,2275,27.08333333,0.18,,,
20.0,Heavy-Duty Steel Full-Motion TV Wall Mount,LPA69-466,2750,3575,42.55952381,0.18,,,
21.0,"X-Large Heavy-duty Full Motion Curved & 
Flat Panel TV Wall Mount",LPA37-696,6500,8450,100.5952381,0.18,,,
22.0,HEAVY-DUTY FULL-MOTION TV WALL MOUNT,LPA77-696,7000,9100,108.3333333,0.18,,,
23.0,Heavy-duty Tilt TV Wall Mounts,LP42-46ST,1100,1430,17.02380952,0.18,,,
24.0,Heavy-duty Tilt TV Wall Mounts,FS44-610TW,17500,22750,270.8333333,0.18,,2025-06-17 00:00:00,
25.0,Height Adjustable Steel TV Cart,T1037ME,6800,8840,105.2380952,0.18,,2025-06-17 00:00:00,
26.0,Modern Motorized Height Adjustable TV Cart,TTL18H-610TW,48000,62400,742.8571429,0.18,,2025-06-26 00:00:00,
28.0,"Cost-Effective Single Screen Heavy-Duty TV Ceiling Mount (Long)
For most 43""-86"" TVs",PLB-CE1546L,3200,4160,49.52380952,0.18,,2025-06-30 00:00:00,
29.0,Economy Steel TV Cart with Camera Shelf,T1042T,4500,5850,69.64285714,0.18,,2025-07-29 00:00:00,
30.0,Heavy-Duty Studio TV Cart,TTF15-68FW,12000,15600,185.7142857,0.18,,2025-07-29 00:00:00,
31.0,Dual Screen Aluminum Height-Adjustable TV Cart with Media Shelf,TTD07-46TW,29000,37700,448.8095238,0.18,,2025-07-29 00:00:00,
32.0,Mobile Interactive Display Floor Stands,TTV11-46TW,12000,15600,185.7142857,0.18,,2025-07-29 00:00:00,
33.0,Heavy Duty Height Adjustable Steel TV Cart,T1035ME,10500,13650,162.5,0.18,,2025-07-29 00:00:00,
34.0,"Portrait Pop-out Video Wall Mount
For most 45""-70"" LED, LCD flat panel TVs",LVW03-64T,10500,13650,162.5,0.18,,2025-08-19 00:00:00,
