Sr No.,Description,Model No,Buy Price,Unnamed: 4,Unnamed: 5,GST,MSRP,Updated Date,Remarks
Liberty,,,,,,,,,
,,,INR,INR with Margin ,USD,,,,
1.0,liberty wire,PC6B007BK,450,585,6.964285714,0.18,,,
2.0,Liberty Cable,PC6B025BK,950,1235,14.70238095,0.18,,,
3.0,4K Liberty,DL-AR4074,17000,22100,263.0952381,0.18,,,
4.0,Liberty Wire,Liberty - HDPMM06F,1071,1392.3,16.575,0.18,,,
5.0,Liberty Wire,Liberty - HDPMM10F,1289,1675.7,19.94880952,0.18,,,
6.0,Liberty Wire,Liberty - HDPMM15,3750,4875,58.03571429,0.18,,,
7.0, DL-ARDD Universal HDMI Adapter Ring 2.0 ,DL-AR-DD,9700,12610,150.1190476,0.18,,,
8.0, Category 6A F/UTP shielded stranded patch cable,PC6ABS005BK,899,1168.7,13.91309524,0.18,,,
9.0,Liberty,PCAABS010BK,1133,1472.9,17.53452381,0.18,,,
10.0,Liberty,PCABS015BK,1238,1609.4,19.15952381,0.18,,,
11.0,Liberty,PPC6ABS050GY,11600,15080,179.5238095,0.18,,,
12.0,Liberty Cables,Liberty-DL-HD28A-H2,24410,31733,377.7738095,0.18,,2023-08-05 00:00:00,
13.0,DigitaLinx HDMI 2.0 HDBaseT Extension Set,Liberty-DL-HD70LS-H2,21300,27690,329.6428571,0.18,,2023-08-05 00:00:00,
14.0,Liberty USB2.0 High Speed extension ,Liberty INT-USB2-50C,5900,7670,91.30952381,0.18,,2023-11-01 00:00:00,
15.0,USB 2.0 High Speed Extender Host Wallplate,Liberty INT-USB2-50HWP,8500,11050,131.547619,0.18,,2023-11-01 00:00:00,
16.0,"24 AWG 4 Core Braided Shielded Microphone/Audio Cable
 with 41- strand tinned copper conductors, 305m spools",24-2P-STAR-BLK,84819,110264.7,1312.675,0.18,170147.0,2025-04-01 00:00:00,
17.0,"1000' Black High-Performance EZ-Strip Broadcast Audio 
22 AWG 1-Pair Shielded Cable Reel",22-1P-CMP-EZ-BLK,28762,37390.6,445.1261905,0.18,57697.0,2025-04-01 00:00:00,
18.0,"22 AWG 2-Core Foil Shielded Audio/Microphone Cable
with 7 strand annealed bare copper conductors, 305m foot spool",22-2C-SH-GRY,14195,18453.5,219.6845238,0.18,28475.0,2025-04-01 00:00:00,
19.0,"22 AWG 2 Pair Individually Shielded Audio/Microphone Cable 
with 7 strand annealed bare copper conductors, 305m foot spool",22-2P-INDSH-GRY,24180,31434,374.2142857,0.18,48505.0,2025-04-01 00:00:00,
20.0,23 AWG -4 Pair Shielded CAT 6A (F/UTP) Cable,24-4P-L6ASH-BLK,33129,43067.7,512.7107143,0.18,66456.0,2025-04-01 00:00:00,
21.0,24 AWG 4-Pair Unshielded CAT5E (U/UTP) Cable,24-4P-L5-EN-BLK,14229,18497.7,220.2107143,0.18,28544.0,2025-04-01 00:00:00,
22.0,"10 AWG 2 Core OFC - Extra Flex Speaker Cable, 150m Spool",10-2C-EX+-WHT,102698,133507.4,1589.37381,0.18,206012.0,2025-04-01 00:00:00,
23.0,"12 AWG 2 Core OFC - Extra Flex Speaker Cable ,150m Spool",12-2C-EX+-WHT,77249,100423.7,1195.520238,0.18,154962.0,2025-04-01 00:00:00,
24.0,"14 AWG 2 Core OFC - Extra Flex Speaker Cable,150m Spool",14-2C-EX+-WHT,46608,60590.4,721.3142857,0.18,93495.0,2025-04-01 00:00:00,
25.0,"16 AWG 2 Core OFC - Extra Flex Speaker Cable,150m Spool",16-2C-EX+-WHT,34985,45480.5,541.4345238,0.18,70181.0,2025-04-01 00:00:00,
26.0,"16 AWG 2 Core Speaker Cable,305m Spool",16-2C-BLK ,24599,31978.7,380.6988095,0.18,49346.0,2025-04-01 00:00:00,
27.0,"18AWG 2 Core Speaker Cable,305m Spool",18-2C-GRY ,17067,22187.1,264.1321429,0.18,34236.0,2025-04-01 00:00:00,
28.0,14 AWG 2 Core Speaker Cable.305m Spool,14-2C-BLK,38082,49506.6,589.3642857,0.18,76393.0,2025-04-01 00:00:00,
29.0,"12AWG 2 Core Speaker Cable,305m Spool",12-2C-BLK,51813,67356.9,801.8678571,0.18,103937.0,2025-04-01 00:00:00,
30.0,6' Tabletop VGA and Audio hybrid cables,E-MVAM-M-6 ,2824,3671.2,43.7047619,0.18,5666.0,2025-04-01 00:00:00,
31.0,"10' Tabletop HDMI, VGA and Audio hybrid cables",E-HDVAM-M-10,9987,12983.1,154.5607143,0.18,20034.0,2025-04-01 00:00:00,
32.0,1m USB 3.2(GEN2) Molded USB C(Male) With Charging(15W),E-USB3.1CC-1M,1343,1745.9,20.78452381,0.18,2693.0,2025-04-01 00:00:00,
33.0,5m USB 3.2 GEN2 Active Optical C(Male)-C (Male) Plenum Cable,HALO-UPCC-005M,13958,18145.4,216.0166667,0.18,27999.0,2025-04-01 00:00:00,
34.0,8m USB 3.2 GEN2 Active Optical C(Male)-C (Male) Plenum Cable,HALO-UPCC-008M,17437,22668.1,269.8583333,0.18,34978.0,2025-04-01 00:00:00,
35.0,10m USB 3.2 GEN2 Active Optical C(Male)-C (Male)  Plenum Cable,HALO-UPCC-010M ,19352,25157.6,299.4952381,0.18,38819.0,2025-04-01 00:00:00,
36.0,15m USB 3.2 GEN2 Active Optical C(Male)-C (Male)  Plenum Cable,HALO-UPCC-015M,24158,31405.4,373.8738095,0.18,48461.0,2025-04-01 00:00:00,
37.0,30m USB 3.2 GEN2 Active Optical C(Male)-C (Male) Plenum Cable,HALO-UPCC-030M ,31526,40983.8,487.902381,0.18,66558.0,2025-04-01 00:00:00,
38.0,10' USB 2.0 A (Male) to A (Female) Molded Cable,E-USBAAF-10,307,399.1,4.751190476,0.18,617.0,2025-04-01 00:00:00,
39.0,15' USB 2.0 A (Male) to A (Female) Molded Cable,E-USBAAF-15 ,424,551.2,6.561904762,0.18,850.0,2025-04-01 00:00:00,
40.0,5m USB 3.2 GEN2 Active Optical A(Male)-A(Female) Plenum Cable,HALO-UPAAF-005M,13784,17919.2,213.3238095,0.18,27652.0,2025-04-01 00:00:00,
41.0,8m USB 3.2 GEN2 Active Optical A(Male)-A(Female) Plenum Cable,HALO-UPAAF-008M,15802,20542.6,244.5547619,0.18,31699.0,2025-04-01 00:00:00,
42.0,10m USB 3.2 GEN2 Active Optical A(Male)-A(Female) Plenum Cable,HALO-UPAAF-010M ,17143,22285.9,265.3083333,0.18,34389.0,2025-04-01 00:00:00,
