Sr No,Description,Model No,Buy Price,Unnamed: 4,Unnamed: 5,MSRP,GST,Updated Date,Remarks
Logitech,,,,,,,,,
,,,INR,INR with Margin ,USD,,,,
1.0,Logitech RALLY BAR- Graphite,960-001317,341995,444593.5,5292.779762,504422,0.18,2025-08-19 00:00:00,
2.0,Logitech RALLY BAR- White,960-001329,384744,500167.2,5954.371429,504422,0.18,2025-04-01 00:00:00,
3.0,Logitech TAP (with CAT5e Cable),952-001953,98904,128575.2,1530.657143,139099,0.18,2025-06-04 00:00:00,
4.0,Logitech TAP (with strong Cable),939-001796,106093,137920.9,1641.915476,139099,0.18,2025-04-03 00:00:00,
5.0,Logitech TAP Riser Mount (new),952-000080,24716,32130.8,382.5095238,32405,0.18,2025-04-04 00:00:00,
6.0,Logitech TAP Riser Mount ,939-001814,25926,33703.8,401.2357143,"₹ 33,992",0.18,2025-04-05 00:00:00,
7.0,Logitech TAP Riser Mount,939-001811,21970,28561,340.0119048,"₹ 33,993",0.18,2025-06-04 00:00:00,
8.0,Logitech TAP Scheduler Angle Mount - Graphite,952-000126,9887,12853.1,153.0130952,"₹ 14,583",0.18,2025-08-19 00:00:00,
9.0,Logitech RALLY Mic Pod Hub,939-001647,18426,23953.8,285.1642857,"₹ 25,796",0.18,2025-06-26 00:00:00,
10.0,Logitech RALLY Mic Pod Extension Cable- 10 m,952-000047,17390,22607,269.1309524,25025,0.18,2025-06-30 00:00:00,
11.0,Logitech RALLY Mic Pod - Graphite,989-000430,30671,39872.3,474.6702381,45240,0.18,2025-08-19 00:00:00,
12.0,Logitech RALLY BAR MINI-Graphite,960-001345,302036,392646.8,4674.366667,396003,0.18,2025-04-02 00:00:00,
13.0,Logitech RALLY BAR MINI-White,960-001357,302036,392646.8,4674.366667,396003,0.18,2025-04-03 00:00:00,
14.0,TAP IP - Graphite,952-000085,77695,101003.5,1202.422619,101867,0.18,2025-04-01 00:00:00,
15.0,TAP IP - Off white,952-000088,77695,101003.5,1202.422619,101867,0.18,2025-04-01 00:00:00,
16.0,TAP SCHEDULER - Graphite,952-000091,70134,91174.2,1085.407143,103448,0.18,2025-08-19 00:00:00,
17.0,TAP SCHEDULER - Off white,952-000094,J17=78901,#VALUE!,#VALUE!,103448,0.18,2025-04-02 00:00:00,
18.0,Logitech TV MOUNT FOR VIDEO BARS,952-000041,14891,14891,177.2738095,21965,0.18,2025-08-19 00:00:00,
19.0,Logitech WALL MOUNT FOR VIDEO BARS,952-000044,14891,19358.3,230.4559524,14403,0.18,2025-08-19 00:00:00,
20.0,Rally Bar huddle GRAPHITE,960-001576,151432,196861.6,2343.590476,223362,0.18,2025-08-19 00:00:00,
21.0,Logitech TAP Wall Mount,939-001817,22997,29896.1,355.9059524,33990,0.18,2025-06-04 00:00:00,
22.0,Logitech Extend - Black,952-000200,88648,115242.4,1371.933333,116227,0.18,2025-04-02 00:00:00,
23.0,Logitech Rally Camera,960-001226,141111,183444.3,2183.860714,185013,0.18,2025-04-01 00:00:00,
24.0,Logitech TAP 10m Extension Cable,939-001799,28012,36415.6,433.5190476,38887,0.18,2025-06-27 00:00:00,
25.0,Logitech TAP 25m Extension Cable,939-001802,52728,68546.4,816.0285714,77775,0.18,2025-06-04 00:00:00,
26.0,Logitech TAP 45m Extension Cable,939-001805,105017,136522.1,1625.263095,137688,0.18,2025-04-03 00:00:00,
27.0,Logitech SWYTCH,952-000011,137688,178994.4,2130.885714,137688,0.18,2025-06-27 00:00:00,
28.0,MIC POD PENDANT MOUNT-off white,952-000123,9887,12853.1,153.0130952,14583,0.18,2025-06-04 00:00:00,
29.0,Logitech RALLY Mounting Kit,939-001644,15453,20088.9,239.1535714,20260,0.18,2025-04-06 00:00:00,
30.0,Logitech GROUP,960-001054,110659,143856.7,1712.579762,145086,0.18,2025-04-07 00:00:00,
31.0,Logitech GROUP Expansion Mics (Pair),989-000171,25267,32847.1,391.0369048,33127,0.18,2025-04-07 00:00:00,
32.0,Logitech GROUP 10m Extension Cable,939-001487,9886,12851.8,152.997619,12961,0.18,2025-04-08 00:00:00,
33.0,Logitech GROUP 15m Extension Cable,939-001490,19772,25703.6,305.9952381,25924,0.18,2025-04-08 00:00:00,
34.0,Logitech meetup,"960-001101
(960-001527)",45000,58500,696.4285714,113995,0.18,2025-06-27 00:00:00,
35.0,Logitech MeetUp 1 Yr Warranty ,994-000098,11812,15355.6,182.8047619,113995,0.18,2025-06-26 00:00:00,
36.0,Logitech Webcam BRIO 4K,960-001105,18813,24456.9,291.1535714,24665,0.18,2025-04-09 00:00:00,                                                   
37.0,Logitech TAP PC Mount (Mandatory),939-001825,15556,20222.8,240.747619,20396,0.18,2025-04-10 00:00:00,
38.0,Logitech Meetup Expansion Mic, 989-000405,21750,28275,336.6071429,28516,0.18,2025-04-11 00:00:00,
39.0,Logitech Rally Mic pod Mount-Graphite,952-000002,6822,8868.6,105.5785714,8944,0.18,2025-04-01 00:00:00,
40.0,Logitech Rally Mic pod Mount-White,952-000020,6822,8868.6,105.5785714,8944,0.18,2025-04-01 00:00:00,
41.0,Logitech RALLY,960-001238,260515,338669.5,4031.779762,341564,0.18,2025-04-01 00:00:00,
42.0,Logitech RALLY PLUS,960-001275,314789,409225.7,4871.734524,412723,0.18,2025-04-01 00:00:00,
43.0,Logitech RALLY Mic Pod - White,952-000038,34505,44856.5,534.0059524,45240,0.18,2025-04-01 00:00:00,
44.0,Logitech RALLY Speaker Bar,960-001230,21601,28081.3,334.3011905,28321,0.18,2025-04-02 00:00:00,
45.0,Logitech MEETUP TV Mount,939-001498,15822,20568.6,244.8642857,10876,0.18,2025-06-27 00:00:00,
46.0,Logitech MEETUP TV Mount XL,939-001656,17541,22803.3,271.4678571,17541,0.18,2025-06-27 00:00:00,
47.0,Logitech MEETUP Expansion Mic Cable 10m,950-000005,9886,12851.8,152.997619,12961,0.18,2025-04-05 00:00:00,
48.0,Logitech Compute Mount (roommate),952-000097,12142,15784.6,187.9119048,15919,0.18,2025-04-06 00:00:00,
49.0,Logitech TAP CAT5E KIT,952-000069,34329,44627.7,531.2821429,45010,0.18,2025-04-07 00:00:00,
50.0,Logitech PTZ PRO2 Camera,960-001184,57289,74475.7,886.6154762,75113,0.18,2025-04-08 00:00:00,
51.0,Logitech CONNECT,960-001035,42213,54876.9,653.2964286,55346,0.18,2025-04-09 00:00:00,
52.0,Logitech BCC950,960-000939,19599,25478.7,303.3178571,25697,0.18,2025-04-10 00:00:00,
53.0,Logitech SCREENSHARE,939-001553,32563,42331.9,503.9511905,42694,0.18,2025-04-11 00:00:00,
54.0,Logitech SCRIBE,960-001383,144874,188336.2,2242.097619,189947,0.18,2025-04-12 00:00:00,
55.0,Logidock Graphite USB-N/A- INDIA-UC,986-000052,48679,63282.7,753.3654762,63824,0.18,2025-04-13 00:00:00,
56.0,Logidock Graphite USB-N/A-INDIA-MSFT,986-000053,48679,63282.7,753.3654762,63824,0.18,2025-04-14 00:00:00,
57.0,Logidock flex-white-USB-PLUGD-WW-9006-INDIA,939-002186,86688,112694.4,1341.6,113658,0.18,2025-04-15 00:00:00,
58.0,Logitech Roommate,950-000090,108481,141025.3,1678.872619,142231,0.18,2025-04-16 00:00:00,
59.0,Celestia Polarizer,952-000116,19225,24992.5,297.5297619,25205,0.18,2025-04-17 00:00:00,
60.0,Logitech Webcam C930e,960-000976,10848,14102.4,167.8857143,14223,0.18,2025-04-18 00:00:00,
61.0,Logitech Webcam C925E,960-001075,9817,12762.1,151.9297619,12871,0.18,2025-04-19 00:00:00,
62.0,Logitech Webcom C920E,960-001360,7050,9165,109.1071429,9243,0.18,2025-04-20 00:00:00,
63.0,Logitech Webcam Brio 505,960-001461,10848,14102.4,167.8857143,14223,0.18,2025-04-20 00:00:00,
64.0,Logitech Webcam Brio 705,960-001531,17714,23028.2,274.1452381,23225,0.18,2025-04-20 00:00:00,
65.0,Logitech Webcam Brio 305,960-001472,5767,7497.1,89.25119048,7562,0.18,2025-04-20 00:00:00,
66.0,Logitech Webcam Brio 105,960-001590,2746,3569.8,42.49761905,3601,0.18,2025-04-20 00:00:00,
67.0,WEBCAM - REACH CAMERA - GRAPHITE- BASE,960-001670,37062,48180.6,573.5785714,48593,0.18,2025-04-21 00:00:00,
68.0,WEBCAM - REACH CAMERA - GRAPHITE -CLAMP,960-001673,37062,48180.6,573.5785714,48593,0.18,2025-04-22 00:00:00,
69.0,Logitech ZONE Wireless Teams,981-000855,21710,28223,335.9880952,28464,0.18,2025-04-22 00:00:00,
70.0,Logitech ZONE Wireless UC,981-000915,21710,28223,335.9880952,28464,0.18,2025-04-22 00:00:00,
71.0,Logitech ZONE Wired Teams,"981-000871
(981-001096)",7490,9737,115.9166667,9820,0.18,2025-04-22 00:00:00,
72.0,Logitech ZONE Wired UC,"981-000876
(981-001097)",7490,9737,115.9166667,9820,0.18,2025-04-22 00:00:00,
73.0,Logitech H650e Stereo,981-000545,5041,6553.3,78.01547619,6610,0.18,2025-04-22 00:00:00,
