Manhattan,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
Sr No.,Description,Model No,Updated Date,Remarks
,,,,
1,"HDMI Cable V2.0 Active ethernet 4K, 15ft/5mtr",,,
2,"HDMI Cable V2.0 Active ethernet 4K, 6ft/1.8mtr",,,
3,"HDMI Cable V2.0 Active ethernet 4K, 10ft/3mtr #Kramer / Manhattan Equiv",,,
4,"HDMI Cable V2.0 Active ethernet 4K, 25ft/7.5mtr #Kramer / Manhattan Equiv",,,
5,"USB C to USB A Active Cable USB 3.2 gen1 , 7.5mtr",,,
6,"HDMI Cable V2.0 Active ethernet 4K, 3ft/1mtr #Kramer /Manhattan Equiv",,,
7,"USB C to USB A Active Cable USB 3.2 gen1 , 5mtr",,,
8,"USB C to USB A Active Cable USB 3.2 gen1 , 3mtr",,,
9,TBUS Dual module with 1 Universal 6amp AC power socket and 2nos USB charging ports,,,
10,"USB ACTIVE EXTENSION CABLE, Usb 3.2 Gen 1 A(M) -A(F) 4K COMPLIANT 25ft / 7.5Mtr",,,
11,"USB ACTIVE EXTENSION CABLE, USB 3.2 gen1 A(M) -A(F) 4K COMPLIANT 10ft / 3Mtr",,,
12,"USB ACTIVE EXTENSION CABLE, USB 3.2 gen1 A(M) -A(F) 4K COMPLIANT 15ft / 5Mtr",,,
13,USB ACTIVE A(M) -B(M) 4K COMPLIANT 3mtr / 10ft,,,
14,"USB A (M) to USB A (M), Usb 3.1 cable 6ft/1.8mtr",,,
15,"USB ACTIVE Cable, A(M) -B(M) 4K Compliant, low loss cable -10Mtr",,,
16,"USB 2.0 extension cable, low loss, 1.5mtr",,,
17,,,,
18,,,,
19,,,,
20,,,,
21,,,,
22,,,,
,,,,
,,,,
Christie,,,,
,,,,
Sr No.,Description,Model No,Updated Date,Remarks
,,,,
1,"Griffyn 4K50-RGB pure laser projector
50,000 lumens, native 4K, 3DLP, RGB pure laser",Griffyn 4K50-RGB,2025-07-14 00:00:00,
2,,,,
3,,,,
4,,,,
5,,,,
6,,,,
7,,,,
8,,,,
9,,,,
10,,,,
11,,,,
12,,,,
13,,,,
14,,,,
15,,,,
16,,,,
17,,,,
18,,,,
19,,,,
20,,,,
21,,,,
22,,,,
