Middle Atlantic,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Middle Atlantic & Clearcom,,,,,,,,,
,,,,,,,,,
Sr No.,Description,Model No,Buy Price,,,GST,MSRP,Updated Date,Remarks
,,,INR,INR with Margin ,USD,,,,
1,"Middle Atlantic - L2 LECTERN,28W25D,C,GE",L2LDC2CCMGE,175981,228775.3,2723.515476,0.18,,,
2,"Middle Atlantic 20-AMP 9-Outlet Rackmount IP
 controlled PDU/Power with IP/RackLink/SP",RLNK-P920R-SP,169832,220781.6,2628.352381,0.18,,,
3,"PTRK-2726 W/PLEXI DR,TOP",PTRK-2726MDK,217950,283335,3373.035714,0.18,,,
4,"Cage Nuts, 50pk",CN1032-50,4950,6435,76.60714286,0.18,,,
5,"3 RU Adjustable Rackshelf, 19.5 to 28 Inch Deep",AS3-22,16220,21086,251.0238095,0.18,,,
6,"1 RU Rackshelf, 14.5 Inch Depp - 4 Piece",UFA-14.5-4,25890,33657,400.6785714,0.18,,,
7,"3 RU Adjustable Rackshelf, 19.5 to 28 Inch Deep",AS3-22,16220,21086,251.0238095,0.18,,,
8,VENTED 2 RU RACK SHELF Black,U2V,7620,9906,117.9285714,0.18,,,
9,"PTRK-2726 W/PLEXI DR,TOP",PTRK-2726MDK,217950,283335,3373.035714,0.18,,,
,,,,,,,,,
Clearcom,,,,,,,,,
,,,,,,,,,
Sr No.,Description,Model No,Buy Price,,,GST,MSRP,Updated Date,Remarks
,,,INR,INR with Margin ,USD,,,,
1,"FreeSpeak II Base Station: (5) beltpacks*, 1RU with 4-wire, 2-wire,Program Audio, Stage Announce, 5 pin XLR-Female HS",FSII-BASE-II-X5,1258749,1636373.7,19480.63929,0.18,,,
2,FreeSpeak II Transceiver Splitter with (1) E1 RJ45/SFP input to (5) E1Non-IP transceivers,FSII-SPL,256689,333695.7,3972.567857,0.18,,,
3," FreeSpeak II Transceiver: 2.4GHz, Europe for (4) FSII-BP24 beltpacks",FSII-TCVR-24-EU,207459,269696.7,3210.675,0.18,,,
4,"FreeSpeak II Beltpack: 2.4GHz, Europe with (5) assignable keys, 5 pin XLR-Female headset",FSII-BP24-X4-EU,242200,314860,3748.333333,0.18,,,
5,"Headset: Single Ear, Light Weight, 4 pin XLR-F with Dynamic Mic, Boom
switch. Inc. headset bag",CC-110-X4,31284,40669.2,484.1571429,0.18,,,
6,FreeSpeak II 5-way charger: FreeSpeak II 5 bay drop in beltpack chargerand battery charger unit. Comes with 12VDC AC adapter,AC60,93357,121364.1,1444.810714,0.18,,,
7,"Spare FreeSpeak II Battery: Spare FreeSpeak II beltpack spare Li-ion
battery.","BAT60

",10373,13484.9,160.5345238,0.18,,,
