Sr No.,Description,Model No,Buy Price,Unnamed: 4,Unnamed: 5,GST,MSRP,Updated Date,Remarks
Milestone,,,,,,,,,
,,,INR,INR with Margin ,USD,,,,
1.0,Milestone IR Extender,ML IR-2EX1,2300,2990,35.5952381,0.18,,2023-11-17 00:00:00,
2.0,Audio Amplifier & Extender,MPTP-T100A,13500,17550,208.9285714,0.18,,2023-01-04 00:00:00,
3.0,"18G HDMI 2.0 Cost-effective Extender Set over
CAT5e/CAT6",MPTP-T60S-H2,15000,19500,232.1428571,0.18,,2024-02-02 00:00:00,
4.0,HDMI 2.0 4x1 Switcher with KVM USB3.0,MP-SUH4KVM-3.0 KIT,45000,58500,696.4285714,0.18,,2024-02-02 00:00:00,
5.0,MP-SC-21 2x1 4K Scaler Switcher,MP-SC-21 Codec,27300,35490,422.5,0.18,,2024-02-02 00:00:00,
7.0,Relay controller,Ml 4RLC LV,4600,5980,71.19047619,0.18,,,
8.0,Relay controller,ML-8RLC,9750,12675,150.8928571,0.18,,,
9.0,Relay controller,ML-4RLC,5900,7670,91.30952381,0.18,,2023-08-03 00:00:00,
10.0,HDMI Switcher,ML401HDMi,5200,6760,80.47619048,0.18,,2023-08-18 00:00:00,
11.0,Relay Controller,ML-4RLC,5600,7280,86.66666667,0.18,,2023-08-18 00:00:00,
12.0,Relay Controller,ML8RLC,9800,12740,151.6666667,0.18,,2023-08-18 00:00:00,
13.0,HDMI Splitter,ML-102HDMI-4K,2600,3380,40.23809524,0.18,,2023-09-08 00:00:00,
14.0,Relay Controller,ML 4RLC,5850,7605,90.53571429,0.18,,2023-10-25 00:00:00,
15.0,Relay controller,ML 8RLC LV,5850,7605,90.53571429,0.18,,2023-11-22 00:00:00,
16.0,HDMI EDID Feeder Model,ML-EDID-FD,2100,2730,32.5,0.18,,2023-11-23 00:00:00,
17.0,HDMI Splitter,ML104HDMI-4K,43000,55900,665.4761905,0.18,,2023-12-06 00:00:00,
18.0,Relay Controller,ML-RLC,5850,7605,90.53571429,0.18,,2023-12-14 00:00:00,
19.0,Relay controller,ML-4RLC,5850,7605,90.53571429,0.18,,2024-02-13 00:00:00,
20.0,Relay controller,ML-8RLC,9750,12675,150.8928571,0.18,,2024-02-28 00:00:00,
21.0,Extender cable,MLUT104V & UR104V,6500,8450,100.5952381,0.18,,,
22.0,USB Extender,MLUt104V And UR104V,6500,8450,100.5952381,0.18,,2024-04-21 00:00:00,
23.0,HDMI Splitter,ML-102 HDMI-4K,2600,3380,40.23809524,0.18,,2024-06-08 00:00:00,
24.0,4 port USB host & Peripheral port USB Switcher,ML-402-USB 2.0,6500,8450,100.5952381,0.18,,2025-06-30 00:00:00,
