Sr No.,Description,Model No,Buy Price,Unnamed: 4,Unnamed: 5,GST,MSRP,Updated Date,Remarks
Newline,,,,,,,,,
,,,INR,INR with Margin ,USD,,,,
1.0,"55"" Touch Interactive Diplay with Inbuilt camera, mic, speaker",X5,70000,91000,1083.333333,0.18,,,
2.0,"75"" Touch Interactive Diplay with Inbuilt camera, mic, speaker",X8,275000,357500,4255.952381,0.18,,,
3.0,"86"" Touch Interactive Diplay with Inbuilt camera, mic, speaker",X9,325000,422500,5029.761905,0.18,,,
4.0,OPS,SO44P621,35000,45500,541.6666667,0.18,,,
5.0,"65"" Touch Interactive Diplay",RS65+,105000,136500,1625,0.18,,,
6.0,"75"" Touch Interactive Diplay",Q75,103000,133900,1594.047619,0.18,,,
7.0,4K OPS PC,WB5A131W,28500,37050,441.0714286,0.18,,,
8.0,4K OPS PC - 4K Resolution | Intel I5 - 10th Gen with Intel UHD Graphics 620 | 8GB RAM - DDR4 | 128 GB SSD Memory| Pre-install Win 10 Pro English ( non-license),WB5A810W,36500,47450,564.8809524,0.18,,,
9.0,"75"" Touch Interactive Diplay",RS75+,130000,169000,2011.904762,0.18,,,
10.0,"86"" Touch Interactive Diplay",Q86,175000,227500,2708.333333,0.18,,,
11.0,OPS PC,WBSRX800,35000,45500,541.6666667,0.18,,,
12.0,"86"" Touch Interactive Diplay",RS86+,185000,240500,2863.095238,0.18,,,
13.0,Mounting Bracket for above display,-,7500,9750,116.0714286,0.18,,,
14.0,OPS PC,i5 OPS,37500,48750,580.3571429,0.18,,,
15.0,OPS PC,WBSRX800,35000,45500,541.6666667,0.18,,,
16.0,"Optically bonded 4K Interactive display with Superior Touch I Size 86’’|7H Hardness I Anti-Glare and Anti Fingerprint Glass | In built Android 8.0, RAM 4GB, ROM 64GB | 10 Points Touch in Android 20 Points Touch in Windows | Smart Object recognition and responsive multi-touch| | In-glass Touch Technology | Wide angle cameras with FOV of 90° | Four Microphones with Pickup Range 8Mtr having ECO cancellation, Beamforming, Noise Reduction | 30W Speakers | In-built Wi-Fi | BYOD Ready | Multiple Inputs/Outputs for connectivity | Inbuilt Software for Casting/Broadcasting/Remote Management |All OS Compatible (Win/iOS/Android) | Advance whiteboarding Features with Onscreen Annotation | 3 Years warranty (OPS not included)",MIRA 86,220000,286000,3404.761905,0.18,,,
17.0,"Optically bonded 4K Interactive display with Superior Touch I Size 65’’|7H Hardness I Anti-Glare and Anti Fingerprint Glass | In built Android 8.0, RAM 4GB, ROM 64GB | 10 Points Touch in Android 20 Points Touch in Windows | Smart Object recognition and responsive multi-touch| | In-glass Touch Technology | Wide angle cameras with FOV of 90° | Four Microphones with Pickup Range 8Mtr having ECO cancellation, Beamforming, Noise Reduction | 30W Speakers | In-built Wi-Fi | BYOD Ready | Multiple Inputs/Outputs for connectivity | Inbuilt Software for Casting/Broadcasting/Remote Management |All OS Compatible (Win/iOS/Android) | Advance whiteboarding Features with Onscreen Annotation | 3 Years warranty (OPS not included)",MIRA 65,155000,201500,2398.809524,0.18,,,
