Sr No.,Description,Model No,"Part Number
 In Mtr",Buy Price,Unnamed: 5,Unnamed: 6,GST,MSRP,Updated Date,Remarks
Panduit,,,,,,,,,,
,,,,INR,INR with Margin ,USD,,,,
1.0,"CAt6, 28AWG, UTP Copper Patch Cord, 10ft, BLK",UTP28X10BL,UTP28X3MBL,685,890.5,10.60119048,0.18,,,
2.0,"CAt6, 28AWG, UTP Copper Patch Cord, 10ft, BLU",UTP28SP10BU,UTP28SP3MBU,535,695.5,8.279761905,0.18,,,
3.0,"CAt6, 28AWG, UTP Copper Patch Cord, 7ft, Off-White",UTP28SP7,UTP28SP2M,475,617.5,7.351190476,0.18,,,
4.0,"CAt6, 28AWG, UTP Copper Patch Cord, 5ft, Off-White",UTP28SP5,UTP28SP1.5M,455,591.5,7.041666667,0.18,,,
5.0,24-PORT PANEL UNLOADED SNAP-IN 4-PORT FACEPLATE BLKWITH LABELS ROHS,CPPL24WBLY,CPPL24WBLY,1680,2184,26,0.18,,,
6.0,"Cat 6 28 AWG UTP Copper Patch Cord, 10 ft, Blue",UTP28SP10BU,UTP28SP3MBU,535,695.5,8.279761905,0.18,,,
7.0,"Cat 6 28 AWG UTP Copper Patch Cord, 6 ft, Blue",UTP28SP6BU,UTP28SP2MBU,475,617.5,7.351190476,0.18,,,
8.0,"Cat 6 28 AWG UTP Copper Patch Cord, 3 ft, Blue",UTP28SP3BU,UTP28SP1MBU,420,546,6.5,0.18,,,
9.0,"Cat 6 28 AWG UTP Copper Patch Cord, 10 ft, VIOLET",UTP28SP10VL,UTP28SP2MVL,495,643.5,7.660714286,0.18,,,
10.0,"Cat 6 28 AWG UTP Copper Patch Cord, 5 ft, VIOLET",UTP28SP5VL,UTP28SP1.5MVL,510,663,7.892857143,0.18,,,
11.0,"Cat 6 28 AWG UTP Copper Patch Cord, 3 ft, VIOLET",UTP28SP3VL,UTP28SP1MVL,480,624,7.428571429,0.18,,,
12.0,Cat6 UTP Copper Cable Plenum - White,PUL6004WH-EY,,14950,19435,231.3690476,0.18,,,
13.0,"Mini-Com® UTP RJ45 Cat 6 TG Jack Module, IW - Box of 24",CJ688TGIW-24,,355,461.5,5.494047619,0.18,,,
14.0,"Mini-Com® Surface Mount Box, 2 port, Arctic White",CBX2AW-AY,,550,715,8.511904762,0.18,,,
15.0,"Mini-Com® UTP RJ45 Cat 6 TG Jack Module, IW - Box of 24",CJ688TGIW-24,,355,461.5,5.494047619,0.18,,,
16.0,"Mini-Com® Surface Mount Box, 2 port, Arctic White",CBX2AW-AY,,550,715,8.511904762,0.18,,,
17.0,"CAt6, 28AWG, UTP Copper Patch Cord, 10ft, BLK",UTP28X10BL,,800,1040,12.38095238,0.18,,,
18.0,"CAt6, 28AWG, UTP Copper Patch Cord, 10ft, BLU",UTP28SP10BU,,620,806,9.595238095,0.18,,,
19.0,"CAt6, 28AWG, UTP Copper Patch Cord, 7ft, Off-White",UTP28SP7,,550,715,8.511904762,0.18,,,
20.0,"CAt6, 28AWG, UTP Copper Patch Cord, 5ft, Off-White",UTP28SP5,,530,689,8.202380952,0.18,,,
21.0,Cat6 UTP Copper Cable Plenum - White,PUL6004WH-EY,,18690,24297,289.25,0.18,,,
22.0,"Mini-Com® UTP RJ45 Cat 6 TG Jack Module, IW - Box of 24",CJ688TGIW-24,,450,585,6.964285714,0.18,,,
23.0,"Mini-Com® Surface Mount Box, 2 port, Arctic White",CBX2AW-AY,,690,897,10.67857143,0.18,,,
24.0,24-PORT PANEL UNLOADED SNAP-IN 4-PORT FACEPLATE BLKWITH LABELS ROHS,CPPL24WBLY,,1950,2535,30.17857143,0.18,,,
25.0,24-PORT PANEL UNLOADED SNAP-IN 4-PORT FACEPLATE BLKWITH LABELS ROHS,CPPL24WBLY,,1950,2535,30.17857143,0.18,,,
26.0,"Cat 6 28 AWG UTP Copper Patch Cord, 10 ft, Blue",UTP28SP10BU,,620,806,9.595238095,0.18,,,
27.0,"Cat 6 28 AWG UTP Copper Patch Cord, 6 ft, Blue",UTP28SP6BU,,550,715,8.511904762,0.18,,,
28.0,"Cat 6 28 AWG UTP Copper Patch Cord, 3 ft, Blue",UTP28SP3BU,,490,637,7.583333333,0.18,,,
29.0,"Cat 6 28 AWG UTP Copper Patch Cord, 10 ft, VIOLET",UTP28SP10VL,,570,741,8.821428571,0.18,,,
30.0,"Cat 6 28 AWG UTP Copper Patch Cord, 5 ft, VIOLET",UTP28SP5VL,,590,767,9.130952381,0.18,,,
31.0,"Cat 6 28 AWG UTP Copper Patch Cord, 3 ft, VIOLET",UTP28SP3VL,,560,728,8.666666667,0.18,,,
32.0,"Mini-Com® UTP RJ45 Cat 6 TG Jack Module, IW - Box of 24",CJ688TGIW-24,,450,585,6.964285714,0.18,,,
33.0,"Mini-Com® Surface Mount Box, 2 port, Arctic White",CBX2AW-AY,,690,897,10.67857143,0.18,,,
34.0,10m Shielded CAT6A patch cable ,S6XPC10MBU,,4800,6240,74.28571429,0.18,,2025-04-17 00:00:00,
