Sr No.,Description,Model No,Buy Price,Unnamed: 4,Unnamed: 5,GST,MSRP,Updated Date,Remarks
Poly,,,,,,,,,
,,,INR,INR with Margin ,USD,,,,
1.0,Poly Studio X52 All-In-One Video Bar with TC10 Controller Kit INDIA,8D8L1AA,393732,511851.6,6093.471429,0.18,,2025-04-01 00:00:00,
2.0,3 Year Poly+ Studio X52 and TC10,P87625312,51431.51,66860.963,795.9638452,0.18,,,
3.0,Poly Studio X52 VESA Mount,875L9AA,18123,23559.9,280.475,0.18,,2025-04-01 00:00:00,
4.0,Poly G7500 Video Conferencing System INDIA,83Z50AA,372456.08,484192.904,5764.201238,0.18,,,
5.0,3 Year Poly+ G7500 4k Base Unit G7500 4k video Codec,P85860312,94296.76,122585.788,1459.354619,0.18,,,
6.0,Poly Studio E70 Smart Camera,842F8AA,367488,477734.4,5687.314286,0.18,,2025-05-06 00:00:00,
7.0,Poly Video IEC Power Cord INDIA,874T5AA,2124,2761.2,32.87142857,0.18,,2025-04-01 00:00:00,
8.0,3 Year Poly+ Studio E70 auto track 4k USB camera with dual lens multi microphone array,P87090312,56223,73089.9,870.1178571,0.18,,,
9.0,HP Mini Conference G9 PC with Zoom Rooms,9C422AW,110842.98,144095.874,1715.427071,0.18,,,
10.0,1 Year Partner Poly+ HP Mini Conferencing PC with Zoom Room,P88120160,5561.46,7229.898,86.07021429,0.18,,,
11.0,Poly TC10 White Touch Controller,875J5AA,73284,95269.2,1134.157143,0.18,,,
12.0,POE Injector for TC10,,5802,7542.6,89.79285714,0.18,,2025-07-30 00:00:00,
13.0,Poly Trio C60 Power Supply with Power Cord and CAT-5,85X03AA,6260,8138,96.88095238,0.18,,2025-07-30 00:00:00,
14.0,1 Year Partner Poly+ TC10,P37760160,5077,6600.1,78.57261905,0.18,,2025-07-30 00:00:00,
15.0,3 Year Partner Poly+ TC10,P37760362,13713,17826.9,212.225,0.18,,2025-07-30 00:00:00,
16.0,Poly USB 2.0 Cable (5M),,6220,8086,96.26190476,0.18,,2025-07-30 00:00:00,
17.0,1 Year Partner Poly+ Studio E70 auto track 4k USB camera with dual lens multi microphone array,P87090160,14433.75,18763.875,223.3794643,0.18,,,
18.0,Poly USB Camera,982L9AA,198098,257527.4,3065.802381,0.18,,,
19.0,1 Year Partner Support for Poly Camera,P60896160,17678,22981.4,273.5880952,0.18,,,
20.0,Poly G7500 Video Conferencing System with Studio E70 and TC10 Controller Kit,92L53AA,748694.1,973302.33,11586.9325,0.18,,,
21.0,1 Year Partner Poly+ Poly G7500 4k Codec-Wireless Sys Studio E70 TC10,P88280160,45758.35,59485.855,708.1649405,0.18,,,
22.0,Poly Active Optical USB 3.1 Cable (10M),875H1AA,32231.78,41901.314,498.8251667,0.18,,2025-04-01 00:00:00,
23.0,Poly Studio G62 Video Conferencing System With Mounting Plate Kit,A01KCAA,167913,218286.9,2598.653571,0.18,,,
24.0,3 Year Partner Poly+ Onsite Poly Studio G62,UB8X3PV,37528,48786.4,580.7904762,0.18,,,
25.0,Poly G62 PoE+ adapter Cbl Kit-INDIA,A02F9AA,6890,8957,106.6309524,0.18,,,
26.0,Poly Active Optical USB 3.1 Cable (25M),875H3AA,78197,101656.1,1210.191667,0.18,,2025-05-06 00:00:00,
27.0,Poly Studio USB Video Bar,842D4AA,60552,78717.6,937.1142857,0.18,,2025-07-03 00:00:00,
28.0,1 Year Poly+ Studio USB video bar autotrack 120 FOV 4K Cam USB stereo BT speakerphones remote,P85830112,3090,4017,47.82142857,0.18,,2025-05-08 00:00:00,
29.0,3 Year Poly+ Studio USB video bar autotrack 120 FOV 4K Cam USB stereo BT speakerphones remote,P85830312,7210,9373,111.5833333,0.18,,2025-05-09 00:00:00,
30.0,Poly Studio X32 All-In-One Video Bar INDIA,"A3SV5AA
",161548,210012.4,2500.147619,0.18,,2025-07-30 00:00:00,
31.0,1 Year Partner Poly+ Studio X32 All-In-One Video Bar,-,10806,14047.8,167.2357143,0.18,,2025-07-30 00:00:00,
32.0,3 Year Partner Poly+ Studio X32 All-In-One Video Bar ,-,24315,31609.5,376.3035714,0.18,,2025-07-30 00:00:00,
33.0,Poly Studio X30/X32/V12 VESA Mount,-,7946,10329.8,122.9738095,0.18,,2025-07-30 00:00:00,
34.0,1 Year Poly+ Studio X52 and TC10,P87625112,17510,22763,270.9880952,0.18,,2025-05-11 00:00:00,
