Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
QSC,,,,,,,,,
,,,,,,,,,
Sr No.,Description,Model No,Buy Price,,,GST,MSRP,Updated Date,Remarks
,,,INR,INR with Margin ,USD,,,,
1,Q-SYS 7” PoE Touch Screen Controller for In-Wall Mounting. Color - Black only,TSC-70-G3,135000,175500,2089.285714,0.18,,2025-06-04 00:00:00,
2,"Unified Core with 24 local audio I/O channels, 128x128 total network I/O channels with 8x8 Software-based Dante license included, USB AV bridging, dual LAN ports, POTS and VoIP telephony, 16 next-generation AEC processors, 1RU.",CORE110F,344750,448175,5335.416667,0.18,,2025-08-22 00:00:00,
3,"4x2 Channel Dual Gang US, Dante/AES67 Wall Plate 2 Mic/Line In (XLR), RCA, 3.5mm I/O, PoE, (white and black faceplates included)",unD6IO,60000,78000,928.5714286,0.18,,,
4,"6.5"" Two-way ceiling speaker, 70/100V transformer with 16 Ω bypass, 135° conical DMT coverage,includes C-ring and rails for blind mount installation. Priced individually but must be purchased in pairs. 18 ",AD-C6T-WH ,17000,22100,263.0952381,0.18,,,
5,"Unified Core with 8 local audio I/O channels, 64x64 network I/O channels with 8x8 Software-based Dante license included, USB AV bridging, dual LAN ports, VoIP telephony, 8x8 GPIO, 8 AEC processors, Half-size 1RU. ",CORE 8 FLEX ,190000,247000,2940.47619,0.18,,,
6,"Q-SYS Core 8-Flex/ Nano Scripting Engine Software License, Perpetual ",SLQSE-8N-P ,14000,18200,216.6666667,0.18,,,
7,"Q-SYS Core 8-Flex/ Nano UCI Deployment Software License, Perpetual ",SLQUD-8N-P,7000,9100,108.3333333,0.18,,,
8,"1/2 RU 2 Channel ENERGY STAR amplifier / Stereo Operation 200 watts into 8 Ω & 4 Ω, Bridged operation 400 watts into 8Ω & 4Ω, and 350 watts into 70v and 100v / 100-240 VAC Operation ",SPA2-200 ,50000,65000,773.8095238,0.18,,,
9,5” PoE Touch Screen Controller for In-Wall Mounting. Color - Black only ,TSC-50-G3 Q-SYS ,95000,123500,1470.238095,0.18,,,
10,"Channel 500W/CH Q-SYS network Amplifier, Lo-Z, 70V, 100V direct drive, FlexAmp™, Mic/line Inputs, 100-240v ",CX-Q2K4 4-,190000,247000,2940.47619,0.18,,,
11,"8"" In-ceiling subwoofer, 120Hz bypassable low pass filter, 70V/100V transformer with 8 Ω bypass, includes C-ring and rails for blind mount installation. ",AD-C81TW ,28000,36400,433.3333333,0.18,,,
12,Professional Tier - one System per month,SS-EMA-S-P,1200,1560,18.57142857,0.18,,,
13,Professional Tier - one Peripheral per month,SS-EMA-P-P,120,156,1.857142857,0.18,,,
14,"Flanged mud ring bracket for pre-installation of AD-C6T, AD-C4T-LP and AD-C6T-HP in sheetrock or plaster surfaces. Priced and packaged in quantities of six (6) pieces per box.",AD-MR6,15000,19500,232.1428571,0.18,,,
15,"6.5"" Two-way pendant speaker, 70/100v transformer with 16 Ω bypass, 135° conical DMT coverage, Includes cable and fastener for suspended Installation.",AD-P6T-WH,25000,32500,386.9047619,0.18,,,
16,"Dual 8"" bandpass subwoofer, 70/100V transformer with 8 Ω bypass,
 120Hz bypassable low-pass filter, includes yoke and suspension hardware.",AD-S28Tw-BK,63000,81900,975,0.18,,2025-04-01 00:00:00,
17,"6.5"" Two-way low-profile ceiling speaker, 70/100v transformer with 16 Ω bypass, 135° conical DMT coverage, includes C-ring and rails for blind mount installation. Priced individually but must be purchased in pairs.",AD-C6T-LP,18000,23400,278.5714286,0.18,,,
18,"Flanged mud ring bracket for pre-installation of AD-C6T, AD-C4T-LP and AD-C6T-HP in sheetrock or plaster surfaces. Priced and packaged in quantities of six (6) pieces per box. quantities of six (6) pieces per box.",AD-MR6,15000,19500,232.1428571,0.18,,,
19,"3.5"" Two-way network soundbar, PoE/PoE+ powered. Includes hanging hardware.",NL-SB42-BK,58000,75400,897.6190476,0.18,,2025-06-04 00:00:00,
20,"4-Channel 500W/CH Q-SYS network Amplifier, Lo-Z, 70V, 100V direct drive, FlexAmpTM, Mic/line Inputs, 100-240v",CX-Q2K4,190000,247000,2940.47619,0.18,,,
21,"Q-SYS Core 110 Scripting Engine Software License, Perpetual ",SLQSE-110-P ,34650,45045,536.25,0.18,,2025-05-03 00:00:00,
22,"Q-SYS Software-based Dante 32x32 Channel License, Perpetual ",SLDAN-32-P,54600,70980,845,0.18,,2025-04-02 00:00:00,
23,"Q-SYS Core 110 UCI Deployment Software License, Perpetual ",SLQUD-110-P ,17850,23205,276.25,0.18,,2025-05-03 00:00:00,
24,"8-Channel 500W/CH Q-SYS network Amplifier, Lo-Z, 70V, 100V direct drive, FlexAmpTM, with Mic/line Inputs, 100-240v ",CX-Q4K8,388500,505050,6012.5,0.18,,2025-04-01 00:00:00,
25,"6.5"" Two-way pendant speaker, 70/100v transformer with 16 Ω bypass, 135° conical DMT coverage, Includes cable and fastener for suspended Installation.",AD-P6T-WH,25000,32500,386.9047619,0.18,,,
26,Q-SYS Network Mic/Line I/O Expander,QIO-ML2x2,37800,49140,585,0.18,,,
27,QSC,NC-12X80,225000,292500,3482.142857,0.18,,,
29,Table top mounting accessory for TSC-70-G3 and TSC-101-G3.,TSC-710T-G3,34650,45045,536.25,0.18,,2025-05-03 00:00:00,
30,Q-SYS Network I/O Expander,QIO-S4,27000,35100,417.8571429,0.18,,,
31,Q-SYS Network I/O Expander,QIO-GP8X8,26040,33852,403,0.18,,,
32,"QSC AcousticDesign Series 16-Driver Column 
Surface-Mount Loudspeaker (White)
",AD-S162T-WH,68820,89466,1065.071429,0.18,,,
33,2-Channel Power Amplifier (200W),SPA2-200,46500,60450,719.6428571,0.18,,,
34," NS Series Gen 10-Port PoE Switch, 125W",NS10-125+,74400,96720,1151.428571,0.18,,,
35,Four-Channel Network Amplifier,QSC-CX-Q 2K4,180500,234650,2793.452381,0.18,,2023-08-21 00:00:00,
36,QSC,QSC -NC-12X80,247000,321100,3822.619048,0.18,,2024-01-04 00:00:00,
37,Four-Channel Network Amplifier ,QSC-SPA-QF-6-X4,100700,130910,1558.452381,0.18,,,
38,Surface-Mount Loudspeaker,QSC-AD--S162T-BK,70300,91390,1087.97619,0.18,,,
39,NS Series Gen 2 Network Switches,QSC-NS26-1440++,332500,432250,5145.833333,0.18,,,
40,"AcousticDesign 6.5"" 2-Way Ceiling Loudspeaker (Pair, White)",QSC-AD-C6T-LP,17100,22230,264.6428571,0.18,,,
42,High Definition Touch Screen Controller,QSC-TSC-50-G3,99750,129675,1543.75,0.18,,,
43,NS Series Gen 2 Network Switches,QSC-NS10-125=,89250,116025,1381.25,0.18,,,
44,"QSC AcousticDesign 6.5"" Two-Way Ceiling Loudspeaker (Pair, Black)",QSC-AD-C6T,16150,20995,249.9404762,0.18,,,
45,QSC SPA4-100 4-Channel Power Amplifier (100W),QSC-SPA4-100,68400,88920,1058.571429,0.18,,,
46,"QSC 110° Horizontal Field of View, ePTZ network camera, PoE, includes mounting bracket for monitor and surface mounting",NC-110,125000,162500,1934.52381,0.18,,2024-09-08 00:00:00,
47,"QSC 12x Optical Zoom 80° Horizontal Field of View, PTZ Network Camera, PoE. Includes PTZ-WMB1 wall mount bracket",NC-12x80,325000,422500,5029.761905,0.18,,,
48,"QSC 20x Optical Zoom 60° Horizontal Field of View, PTZ Network Camera, PoE. Includes PTZ-WMB1 wall mount bracket.",NC-20x60,400000,520000,6190.47619,0.18,,,
49,"QSC Accessory Ceiling Mount Bracket for PTZ Camera, NC-12x80 and NC-20x60.",PTZ-CMB1,12500,16250,193.452381,0.18,,,
50,"4K60 4:4:4 Network Video Endpoint for the Q-SYS Ecosystem, software
configurable as Encoder or Decoder. 3 HDMI 2.0 Inputs, 2 HDMI 2.0
Outputs, on-board AV Bridging. Supports optional stand-alone “Q-SYS
Core Mode"" operation for audio DSP with local video switching (no
encoding or decoding) and AV Bridging.","NV-32-H 
",295000,383500,4565.47619,0.18,,2025-06-04 00:00:00,
51,"4K60 4:4:4 Network Video Endpoint for Q-SYSEcosystem, software
configurable as Encoder or Decoder. 1 HDMI 2.0 Input, 1 USB-C Input, 1
HDMI 2.0 output. Optional Software License to enable AV Bridging
(SLQBR-P).",NV-21-HU,164000,213200,2538.095238,0.18,,2025-06-04 00:00:00,
52,"12v 10a Aux Power Supply for NV-21-HU to enable USB-C 
device charging",NV-21-PSU,22000,28600,340.4761905,0.18,,2025-06-04 00:00:00,
53,"Q-SYS AV Bridging feature license. One license is required per TSC
Series Gen 3 touch screen controller with AV Bridging enabled.
Perpetual. For TSC-70-G3 & TSC-101-G3",SLQBR-P,50000,65000,773.8095238,0.18,,,
54,"Unified Core with 8 local audio I/O channels, 64x64 network I/O
channels with 8x8 Software-based Dante license included, USB AV
bridging, dual LAN ports, VoIP telephony, 8x8 GPIO, 8 AEC processors,
Half-size 1RU.",Core 8 Flex,250000,325000,3869.047619,0.18,,,
55,"Q-SYS Core 8 Flex, Core Nano, NV-32-H (Core Capable) license for
Microsoft Teams Room software features, enables both Q-SYS Scripting
and UCI Deployment, Perpetual",SLMST-8N-P,25000,32500,386.9047619,0.18,,,
56,"QSC Q-SYS Software-based Dante 16x16 Channel License, Perpetual",SLDAN-16-P,40000,52000,619.047619,0.18,,,
57,"1/2 RU 2 Channel ENERGY STAR amplifier / Stereo Operation 200 watts
into 8 Ω & 4 Ω, Bridged operation 400 watts into 8Ω & 4Ω, and 350
watts into 70v and 100v / 100-240 VAC Operation",SPA2-200,62500,81250,967.2619048,0.18,,,
