Sr No.,Description,Model No,Buy Price,Unnamed: 4,Unnamed: 5,GST,MSRP,Updated Date,Remarks
Samsung,,,,,,,,,
,,,INR ,With Margin INR,USD,,,,
1.0," 43"" UHD 4K HDR Commercial Monitor
Brightness - 350 nit",QB43C,30000,39000,464.2857143,0.28,,,
2.0," 50"" UHD 4K HDR Commercial Monitor
Brightness - 350 nit",QB50C,35000,45500,541.6666667,0.28,,,
3.0," 55"" UHD 4K HDR Commercial Monitor
Brightness - 350 nit",QB55C,39500,51350,611.3095238,0.28,,,
4.0," 65"" UHD 4K HDR Commercial Monitor
Brightness - 350 nit",QB65C.,70000,91000,1083.333333,0.28,,,
5.0," 75"" UHD 4K HDR Commercial Monitor
Brightness - 350 nit",QB75C,97000,126100,1501.190476,0.28,,,
6.0," 85"" UHD 4K HDR Commercial Monitor
Brightness - 350 nit",QB85C,200000,260000,3095.238095,0.28,,,
7.0," 85"" UHD 4K HDR Commercial Monitor
Brightness - 350 nit",QB85R-B,165000,214500,2553.571429,0.28,,,
8.0,AIO Interactive display,WM55R,88000,114400,1361.904762,0.28,,,
9.0,HDMI connectivity out,HDMI OUT Tray,14000,18200,216.6666667,0.18,,,
10.0," 50"" UHD 4K HDR Commercial Monitor
Brightness - 500 nit",QM50C,43000,55900,665.4761905,0.28,,,
11.0," 55"" UHD 4K HDR Commercial Monitor
Brightness - 500 nit",QM55C,45000,58500,696.4285714,0.28,,2025-08-14 00:00:00,
12.0," 65"" UHD 4K HDR Commercial Monitor
Brightness - 500 nit",QM65C,64000,83200,990.4761905,0.28,,2025-08-14 00:00:00,
13.0," 75"" UHD 4K HDR Commercial Monitor
Brightness - 500 nit",QM75C,123000,159900,1903.571429,0.28,,,
14.0," 85"" UHD 4K HDR Commercial Monitor
Brightness - 500 nit",QM85C,205000,266500,3172.619048,0.28,,,
15.0,"98"" UHD Signage QM98C
Brightness (Typ): 500 nit",QM98C,530000,689000,8202.380952,0.28,,2025-07-01 00:00:00,
15.0,"98"" 4K UHD Commercial  Smart LED Display
Brightness - 500 nit",QM98T,675000,877500,10446.42857,0.28,,,
16.0,Samsung 350 nits,QB75B,104000,135200,1609.52381,0.28,,,
17.0,Samsung 350 nits,LFD LH55QBBEBGCLXL,44000,57200,680.952381,0.28,,,
18.0,32'' Professional UHD Display,QM32R-B,24500,31850,379.1666667,0.28,,,
19.0,43'' Professional Display,DB43J,28500,37050,441.0714286,0.28,,,
20.0,43'' Professional Display,QB43B,31000,40300,479.7619048,0.28,,,
21.0,43'' Professional UHD Display,QB43R,37000,48100,572.6190476,0.28,,,
22.0,43'' Professional Display,QM43B,38000,49400,588.0952381,0.28,,,
23.0,50'' Professional UHD Display,QB50B,38000,49400,588.0952381,0.28,,,
24.0,50'' Professional UHD Display,QB50R,39500,51350,611.3095238,0.28,,,
25.0,50'' Professional UHD Display,QM50B,45000,58500,696.4285714,0.28,,,
26.0,55'' Professional UHD Display,HG55AU800,36000,46800,557.1428571,0.28,,,
27.0,55'' Professional UHD Display,QB55B,46000,59800,711.9047619,0.28,,,
