Sr No.,Description,Model No,Buy Price,Unnamed: 4,Unnamed: 5,GST,MSRP,Updated Date,Remarks
Sennheiser,,,,,,,,,
,,,INR,INR with Margin ,USD,,,,
1.0,Sennheiser,MEB 104B Boundary Mic,11000,14300,170.2380952,0.18,,,
2.0,Sennheiser Wireless microphone,SL MCR4 DW3,135975,176767.5,2104.375,0.18,,2023-11-06 00:00:00,
3.0,Sennheiser Wireless microphone,SL handed 865 DW-3-EU,50057,65074.1,774.6916667,0.18,,2023-11-06 00:00:00,
4.0,Sennheiser Wireless microphone,SL Bodypack ME2 KIT DW-3,39583,51457.9,612.5940476,0.18,,2023-11-06 00:00:00,
5.0,Sennheiser microphone,MEG 14-40 B Gooseneck,15500,20150,239.8809524,0.18,,2023-11-06 00:00:00,
6.0,Sennheiser microphone,MAT 133-S B black XLR-3 PTT,14500,18850,224.4047619,0.18,,2023-11-06 00:00:00,
7.0,Sennheiser Wireless microphone,CHG4-N EU,59500,77350,920.8333333,0.18,,2023-11-06 00:00:00,
8.0,Sennheiser Wireless microphone,SL-Bodypack HM 1 KIT SW 3,48390,62907,748.8928571,0.18,,2023-12-13 00:00:00,
9.0,Sennheiser TCC-2 ceiling microphone,TCC-2,307810,400153,4763.72619,0.18,,2024-09-08 00:00:00,
10.0,Sennheiser Four channel receiver for SpeechLine Digital Wireless,SL MCR 4 DW-3,137202,178362.6,2123.364286,0.18,,2024-09-09 00:00:00,
11.0,SpeechLine Digital Wireless Bodypack kit. Includes (1) SL Bodypack DW and (1) MKE 2 lavalier microphone,MKE 2 KIT DW-3,37698,49007.4,583.4214286,0.18,,2024-09-10 00:00:00,
12.0,Sennheiser Wireless Handheld Microphone with MME 865 capsule,SL HANDHELD 865 DW-3-EU,51079,66402.7,790.5083333,0.18,,2024-09-11 00:00:00,
13.0,Sennheiser Network enabled charger featuring 4 individual charging bays.,CHG 4N UK,61681,80185.3,954.5869048,0.18,,2024-09-12 00:00:00,
14.0,Sennheiser Network enabled charger featuring 2 individual charging bays.,CHG 2N UK,16896,21964.8,261.4857143,0.18,,2024-09-13 00:00:00,
15.0,Sennheiser Two channel receiver for SpeechLine Digital Wireless,SL MCR 2 DW-3,81638,106129.4,1263.445238,0.18,,2024-09-14 00:00:00,
16.0,Ceiling Mic Suspension Kit,SL CM SK,13500,17550,208.9285714,0.18,,2024-09-15 00:00:00,
