Sr No.,Description,Model No,Buy Price,Unnamed: 4,Unnamed: 5,GST,MSRP,Updated Date,Remarks
Sharp & AIRTAME,,,,,,,,,
,,,INR,INR with Margin ,USD,,,,
1,55” Professional Display,ME552,105000,136500,1625,0.18,,2025-06-05 00:00:00,
2,"65"" Screen Size, 4K UHD Professional
Display, 400 nits brightness, 18 x 7 rated",ME652,135000,175500,2089.285714,0.18,,,
2,86” Professional Display,ME862,385000,500500,5958.333333,0.18,,2025-04-10 00:00:00,
3,98” Professional Display,ME982,7975000,10367500,123422.619,0.18,,2025-04-10 00:00:00,
,,,,,,,,,
,,,,,,,,,
AIRTAME,,,,,,,,,
Sr No.,Description,Model No,Buy Price,,,GST,MSRP,Updated Date,Remarks
,,,INR,INR with Margin ,USD,,,,
1,"Airtame Hub with 3-year core License – 
Screen Sharing & Digital Signage ",AT-CD1-CORE-3Y,100000,130000,1547.619048,0.18,,,
2,Airtame Core - Credit for renewal of 1 License for 1 year,AT-CORE-1Y-RENEWAL,20000,26000,309.5238095,0.18,,,
2,Airtame Hub Conferencing with 1-year Hybrid License,AT-CD1-HYBRID-1Y,145000,188500,2244.047619,0.18,,,
3,Airtame Hybrid - Credit for renewal of 1 License for 1 year,AT-HYBRID-1Y-RENEWAL,50000,65000,773.8095238,0.18,,,
,,,,0,0,0.18,,,
