Sr No.,Description,Model No,Updated Date,Remarks
,,,,
1,55” Professional Display,ME552,2025-06-05 00:00:00,
2,"65"" Screen Size, 4K UHD Professional
Display, 400 nits brightness, 18 x 7 rated",ME652,,
2,86” Professional Display,ME862,2025-04-10 00:00:00,
3,98” Professional Display,ME982,2025-04-10 00:00:00,
,,,,
,,,,
AIRTAME,,,,
Sr No.,Description,Model No,Updated Date,Remarks
,,,,
1,"Airtame Hub with 3-year core License – 
Screen Sharing & Digital Signage ",AT-CD1-CORE-3Y,,
2,Airtame Core - Credit for renewal of 1 License for 1 year,AT-CORE-1Y-RENEWAL,,
2,Airtame Hub Conferencing with 1-year Hybrid License,AT-CD1-HYBRID-1Y,,
3,Airtame Hybrid - Credit for renewal of 1 License for 1 year,AT-HYBRID-1Y-RENEWAL,,
