"Shure pricelist drive link-
https://docs.google.com/spreadsheets/d/1XWKK5f5YNPCy8uaL_RCi9bB74j8HdNWs/edit?usp=drive_link&ouid=115637406728694488059&rtpof=true&sd=true",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Shure,,,,,,,,,
,,,,,,,,,
Sr No.,Description,Model No,Buy Price,,,GST,MSRP,Updated Date,Remarks
,,,INR,INR with Margin ,USD,,,,
1,Audio Conferencing Processor,INTELLIMIX P300,118000,153400,1826.190476,0.18,,,
2,2-CHANNEL ACCESS POINT TRANSCEIVER,MXWAPT2=-Z11,101653.92,132150.096,1573.215429,0.18,,,
3,2-CH NETWORKED CHARGING STATION,MXWNCS2-IN,45152.64,58698.432,698.7908571,0.18,,,
4,BLX24 VOCAL SYSTEM WITH SM58,BLX24IN/SM58=,40169,52219.7,621.6630952,0.18,,,
5,BLX14 LAV SYSTEM WITH CVL,BLX14IN/CVL=,36949,48033.7,571.8297619,0.18,,,
6,AUDIO CONFERENCING PROCESSOR,P300-IMX,123166,160115.8,1906.140476,0.18,,2025-04-01 00:00:00,
7,"920 CEILING ARRAY, WHITE, SQUARE, 60 CM",MXA920W-S-60CM,328156,426602.8,5078.604762,0.18,,,
8,BODYPACK TRANSCEIVER W/BUILT-IN OMNI MIC,MXW1/O=-Z11,45318,58913.4,701.35,0.18,,,
9,"UNIPLEX LAV MIC, BLACK, CARDIOID, MTQG",UL4B/C-MTQG-A,25993,33790.9,402.272619,0.18,,,
10,HH TRANSMITTER WITH SM58,MXW2/SM58=-Z11,46525,60482.5,720.0297619,0.18,,2025-04-02 00:00:00,
11,4-CHANNEL ACCESS POINT TRANSCEIVER,MXWAPT4=-Z11,205200,266760,3175.714286,0.18,,,
12,4-CHANNEL NETWORKED CHARGING STATION W.,MXWNCS4-IN,107328.96,139527.648,1661.043429,0.18,,,
13,"UNIPLEX LAV MIC, BLACK, CARDIOID, MTQG",UL4B/C-MTQG-A,25993.44,33791.472,402.2794286,0.18,,,
14,2-CHANNEL ACCESS POINT TRANSCEIVER,MXWAPT2=-Z11,101653.92,132150.096,1573.215429,0.18,,,
15,2-CH NETWORKED CHARGING STATION,MXWNCS2-IN,45152.64,58698.432,698.7908571,0.18,,,
16,Microflex Advance Square 60cm Ceiling Microphone Array (White),MXA920-S-60CM,270000,351000,4178.571429,0.18,,,
17,ULXD2 WIRELESS HANDHELD W/SM58 HEAD,ULXD2/SM58=,50275,65357.5,778.0654762,0.18,,2025-03-03 00:00:00,
