Sr No.,Description,Model No,Buy Price,Unnamed: 4,Unnamed: 5,GST,MSRP,Updated Date,Remarks
Sony,,,,,,,,,
,,,INR,INR with Margin ,USD,,,,
1.0,PTZ Camera Remote Controller,RM-IP500/3 SY,234000,304200,3621.428571,0.28,,2023-10-30 00:00:00,
2.0,"85” 4K HDR professional display ,440 nits",FW-85BZ30L,198000,257400,3064.285714,0.28,500000.0,,
3.0,"Series 85"" UHD  4K HDR Commercial Monitor",FW-85EZ20L,190000,247000,2940.47619,0.28,,2025-04-01 00:00:00,
4.0,"75"" BRAVIA 4K Ultra HD HDR Professional Display",FW-75BZ30J,117000,152100,1810.714286,0.28,500000.0,,
5.0,"Series 75"" UHD  4K HDR Commercial Monitor",FW-75EZ20L,95000,123500,1470.238095,0.28,,2025-04-01 00:00:00,
6.0,"65” 4K HDR professional display ,440 nits",FW-65BZ30L,67000,87100,1036.904762,0.28,200000.0,,
7.0,"55” 4K HDR professional display ,440 nits",FW-55BZ30L,46000,59800,711.9047619,0.28,150000.0,,
8.0,"50” 4K HDR professional display ,440 nits",FW-50BZ30L,39000,50700,603.5714286,0.28,125000.0,,
9.0,"43” 4K HDR professional display ,440 nits",FW-43BZ30L,33000,42900,510.7142857,0.28,100000.0,,
10.0,"75"" 4K HDR Commercial Monitor,550 nits",FW-75BZ35L,136000,176800,2104.761905,0.28,450000.0,,
11.0,"65"" 4K HDR Commercial Monitor,550 nits",FW-65BZ35L,81000,105300,1253.571429,0.28,250000.0,,
12.0,"55"" 4K HDR Commercial Monitor,550 nits",FW-55BZ35L,60000,78000,928.5714286,0.28,200000.0,,
13.0,"43"" 4K HDR Commercial Monitor,550 nits",FW-43BZ35J,35000,45500,541.6666667,0.28,160000.0,,
14.0,"85” 4K HDR professional display,650 nits",FW-85BZ40L,235000,305500,3636.904762,0.28,700000.0,2025-06-30 00:00:00,
15.0,"75”  4K HDR professional display,700 nits",FW-75BZ40L,150000,195000,2321.428571,0.28,500000.0,,
16.0,"65” 4K HDR professional display,700 nits",FW-65BZ40L,87500,113750,1354.166667,0.28,300000.0,2025-06-30 00:00:00,
17.0,"55”  4K HDR professional display,700 nits",FW-55BZ40L,67000,87100,1036.904762,0.28,225000.0,2025-06-26 00:00:00,
18.0,"75"" 4K Ultra HD HDR Professional Display,620 nits",FW-75BZ40H,125000,162500,1934.52381,0.28,600000.0,,
19.0,"55""4K Ultra HD HDR Professional Display,620 nits",FW-55BZ40H,48500,63050,750.5952381,0.28,250000.0,,
20.0,"98"" UHD 4K HDR Commercial Monitor,780 nits",FW-98BZ50L,605000,786500,9363.095238,0.28,2000000.0,,
21.0,Full Frame PTZ Camera,ILME-FR7,1252989,1628885.7,19391.49643,0.28,,2025-04-01 00:00:00,
22.0,16~35 mm Cine Wide Angle Zoom Lens,SELC1635G,635792,826529.6,9839.638095,0.28,,,
23.0,14mm Master Prime Lens,SEL14F18GM/J SYX,152296,197984.8,2356.961905,0.28,,,
24.0,"PTZ Camera Remote Controller
",RM-IP500,274196,356454.8,4243.509524,0.28,,,
25.0,640 GB CFexpress Card Type A,CEA-G640T//TSYM,110825,144072.5,1715.14881,0.28,,,
26.0,Card Reader,MRW-G2//T SYM,9790,12727,151.5119048,0.28,,,
27.0,VPL-PHZ51 5300-Lumen WUXGA Laser 3LCD Projector,VPL PHZ51,175000,227500,2708.333333,0.28,,2025-02-04 00:00:00,
28.0,"98"" UHD 4K HDR Commercial Monitor",FW-98BZ53L,600000,780000,9285.714286,0.28,,2025-06-26 00:00:00,
