Steelcase,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Steelcase & Huddly,,,,,,,,,
,,,,,,,,,
Sr No.,Description,Model No,Buy Price,,,GST,MSRP,Updated Date,Remarks
,,,INR,INR with Margin ,USD,,,,
1,Steelcase Mobile stand for Microsoft Surface Hub 2S 50-inch,STPM1CART,123825,160972.5,1916.339286,0.18,,2024-09-08 00:00:00,
2,"Steelcase Roam Wall Mount for Surface Hub 2S 50""",STPM1WALLMT,20463,26601.9,316.6892857,0.18,,,
3,"Steelcase Hub 2S 85"" Floor Supported Wall Mount",STPM2FLRMT85,135783,176517.9,2101.403571,0.18,,,
4,"Steelcase Hub 2S 85"" Roam Mobile Stand",STPM2CART85,208200,270660,3222.142857,0.18,,,
5,"Steelcase Hub 2S 85"" Wall Mount",STPM2WALMT85,52973,68864.9,819.8202381,0.18,,,
9,ROAM: Wall Mount-85'',STPM2WALMT85,46063,59881.9,712.8797619,0.18,,,
10,"ROAM: Mobile Stand-85""",STPM2CART85,181044,235357.2,2801.871429,0.18,,,
,,,,,,,,,
Huddly,,,,,,,,,
,,,,,,,,,
Sr No.,Description,Model No,Buy Price,,,GST,MSRP,Updated Date,Remarks
,,,INR,INR with Margin ,USD,,,,
1,Conference Camera,huddly,185000,240500,2863.095238,0.18,,,
2,CONNECT2 HUDDLY,Huddly IQ,75000,97500,1160.714286,0.18,,,
3,USB 3 type angled C to A cable 2.0m,Huddly USB,3950,5135,61.13095238,0.18,,,
