Sr No.,Description,Model No,Buy Price,Unnamed: 4,Unnamed: 5,GST,MSRP,Updated Date,Remarks
Studio Master,,,,,,,,,
,,,INR,INR with Margin ,USD,,,,
1.0,Studiomaster,Mixer Air 4U,10000,13000,154.7619048,0.18,,,
2.0,Studiomaster Mic,Studiomaster XR 1002HL MIC,21500,27950,332.7380952,0.18,,2023-09-14 00:00:00,
3.0,studiomaster Microphone,XR 80HH,10500,13650,162.5,0.18,,2023-11-01 00:00:00,
4.0,studiomaster Microphone,XR-40 HL,7000,9100,108.3333333,0.18,,2023-11-07 00:00:00,
5.0,studiomaster Microphone,XR 40 HH,7000,9100,108.3333333,0.18,,2023-11-07 00:00:00,
6.0,studiomaster Microphone,Air16 U,13893,18060.9,215.0107143,0.18,,2023-11-13 00:00:00,
7.0,Studiomaster,XR-80-HL,10500,13650,162.5,0.18,,2024-03-04 00:00:00,
8.0,Studiomaster,XR-80-LL,10500,13650,162.5,0.18,,2024-03-04 00:00:00,
9.0,Studiomaster,XR-100-2HL- MIC,21250,27625,328.8690476,0.18,,2024-06-27 00:00:00,
10.0,Headset microphone ,XR-HM1-BL-Headset,700,910,10.83333333,0.18,,2024-06-27 00:00:00,
11.0,Studiomaster wireless mic,XR80HH,10500,13650,162.5,0.18,,2024-07-18 00:00:00,
12.0,Studiomaster Mixer,Mixer AIR 4,7711,10024.3,119.3369048,0.18,,2024-07-18 00:00:00,
13.0,Wireless Microphone,Studio Master XR-100-2HL,16383,21297.9,253.5464286,0.18,,2024-09-08 00:00:00,
14.0,Headset microphone ,Studio Master XR-HM1-SK,1074,1396.2,16.62142857,0.18,,,
15.0,Wireless Microphone,Studio Master XR-80 HK,7824,10171.2,121.0857143,0.18,,,
16.0,Mixer,Studio Master AIR 8U,13067.8,16988.14,202.2397619,0.18,,,
17.0,Wireless Microphone,Studio Master XR-100-2HL,16383,21297.9,253.5464286,0.18,,,
18.0,Wireless Microphone,Studio Master XR-80-HL,7824,10171.2,121.0857143,0.18,,,
19.0,18 Channel Professional audio mixing console,Studio Master Orb 1822,24047,31261.1,372.1559524,0.18,,,
20.0,Wireless Microphone,Studio Master XR-100-2HL,16383,21297.9,253.5464286,0.18,,,
21.0,Wireless Microphone,Studio Master Xr-80-HL,7824,10171.2,121.0857143,0.18,,,
22.0,Mixer,Studio Master orb 822SC,14698,19107.4,227.4690476,0.18,,,
23.0,Wireless Microphone,Studio Master XR-100-2HL,16383,21297.9,253.5464286,0.18,,,
