Sr No.,Description,Model No,Updated Date,Remarks
,,,,
1.0,Studiomaster,Mixer Air 4U,,
2.0,Studiomaster Mic,Studiomaster XR 1002HL MIC,2023-09-14,
3.0,studiomaster Microphone,XR 80HH,2023-11-01,
4.0,studiomaster Microphone,XR-40 HL,2023-11-07,
5.0,studiomaster Microphone,XR 40 HH,2023-11-07,
6.0,studiomaster Microphone,Air16 U,2023-11-13,
7.0,Studiomaster,XR-80-HL,2024-03-04,
8.0,Studiomaster,XR-80-LL,2024-03-04,
9.0,Studiomaster,XR-100-2HL- MIC,2024-06-27,
10.0,Headset microphone ,XR-HM1-BL-Headset,2024-06-27,
11.0,Studiomaster wireless mic,XR80HH,2024-07-18,
12.0,Studiomaster Mixer,Mixer AIR 4,2024-07-18,
13.0,Wireless Microphone,Studio Master XR-100-2HL,2024-09-08,
14.0,Headset microphone ,Studio Master XR-HM1-SK,,
15.0,Wireless Microphone,Studio Master XR-80 HK,,
16.0,Mixer,Studio Master AIR 8U,,
17.0,Wireless Microphone,Studio Master XR-100-2HL,,
18.0,Wireless Microphone,Studio Master XR-80-HL,,
19.0,18 Channel Professional audio mixing console,Studio Master Orb 1822,,
20.0,Wireless Microphone,Studio Master XR-100-2HL,,
21.0,Wireless Microphone,Studio Master Xr-80-HL,,
22.0,Mixer,Studio Master orb 822SC,,
23.0,Wireless Microphone,Studio Master XR-100-2HL,,
