Valrack ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Valrack & Drita,,,,,,,,,
,,,,,,,,,
Sr No.,Description,Model No,Buy Price,,,GST,MSRP,Updated Date,Remarks
,,,INR,INR with Margin ,USD,,,,
1,front glass door with key & look,"Valrack
 PROW INT CSP 12U65 S",7000,9100,108.3333333,0.18,,,
2,Network tray 315 D Black,495W315D,645,838.5,9.982142857,0.18,,,
3,PDU 6A 6SKT SWT PLG,465569,1300,1690,20.11904762,0.18,,,
4,AV Rack,12U66 A (Gray),8145,10588.5,126.0535714,0.18,,,
5,Monitor Tray,Valrack 6X375 A,745,968.5,11.5297619,0.18,,,
6,Valrack,18U 600X600,17500,22750,270.8333333,0.18,,,
7,AV Rack,9 U Rack,8375,10887.5,129.6130952,0.18,,,
8,AV Rack,12 U rack,8795,11433.5,136.1130952,0.18,,,
9,HEAVY DUTY ALUMINIUM  STRUCTURE,RACK  12 U 600 * 600,10695,13903.5,165.5178571,0.18,,,
10,HEAVY DUTY ALUMINIUM  STRUCTURE ,RACK  15 U 600 * 601,11445,14878.5,177.125,0.18,,,
11,HEAVY DUTY ALUMINIUM  STRUCTURE ,RACK  27 U 600*650,27895,36263.5,431.7083333,0.18,,,
,,,0,0,0,0.18,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Drita,,,,,,,,,
,,,,,,,,,
Sr No.,Description,Model No,Buy Price,,,GST,MSRP,Updated Date,Remarks
,,,INR,INR with Margin ,USD,,,,
1,"Drita Tech Multi Screen Controller
24 HDMI FHD Inputs
16 HDMI FHD Outputs",DT-4016D24-4U-AW,929000,1207700,14377.38095,0.18,,2025-01-23 00:00:00,
2,"Drita Tech Multi Screen Controller
16 HDMI FHD Inputs
16 HDMI FHD Outputs",DT-4016D16-4U-AW,789000,1025700,12210.71429,0.18,,2025-01-24 00:00:00,
