Valrack ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
Sr No.,Description,Model No,Updated Date,Remarks
,,,,
1,front glass door with key & look,"Valrack
 PROW INT CSP 12U65 S",,
2,Network tray 315 D Black,495W315D,,
3,PDU 6A 6SKT SWT PLG,465569,,
4,AV Rack,12U66 A (Gray),,
5,Monitor Tray,Valrack 6X375 A,,
6,Valrack,18U 600X600,,
7,AV Rack,9 U Rack,,
8,AV Rack,12 U rack,,
9,HEAVY DUTY ALUMINIUM  STRUCTURE,RACK  12 U 600 * 600,,
10,HEAVY DUTY ALUMINIUM  STRUCTURE ,RACK  15 U 600 * 601,,
11,HEAVY DUTY ALUMINIUM  STRUCTURE ,RACK  27 U 600*650,,
,,,,
,,,,
,,,,
,,,,
,,,,
Drita,,,,
,,,,
Sr No.,Description,Model No,Updated Date,Remarks
,,,,
1,"Drita Tech Multi Screen Controller
24 HDMI FHD Inputs
16 HDMI FHD Outputs",DT-4016D24-4U-AW,2025-01-23 00:00:00,
2,"Drita Tech Multi Screen Controller
16 HDMI FHD Inputs
16 HDMI FHD Outputs",DT-4016D16-4U-AW,2025-01-24 00:00:00,
