Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Yamaha & AVOCOR,,,,,,,,,
YAMAHA,,,,,,,,,
Sr No.,Description,Model No,Buy Price,,,GST,MSRP,Updated Date,Remarks
,,,INR,INR with Margin ,USD,,,,
1,Ceiling Speaker,VC4NW,5500,7150,85.11904762,0.18,,2025-01-27 00:00:00,
2,Power Amplifier ,MA2120,55000,71500,851.1904762,0.18,,2025-01-27 00:00:00,
3,Digital Control Panel,DCP1V4s,10000,13000,154.7619048,0.18,,2025-01-27 00:00:00,
4,Power Amplifier ,MA 2030,28000,36400,433.3333333,0.18,,2025-01-27 00:00:00,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
AVOCOR,,,,,,,,,
Sr No.,Description,Model No,Buy Price,,,GST,MSRP,Updated Date,Remarks
,,,INR,INR with Margin ,USD,,,,
1,"Avocor Desk 27""",,185000,240500,2863.095238,0.18,,2025-06-05 00:00:00,
2,,,0,0,0,0.18,,,
3,,,0,0,0,0.18,,,
