Sr No.,Description,Model No,Buy Price,Unnamed: 4,Unnamed: 5,GST,MSRP,Updated Date,Remarks
Yealink,,,,,,,,,
,,,INR,INR with Margin ,USD,,,,
1.0,"All-in-one desktop collaboration solution for hybrid office
23.8-inch touch screen, a 1080p camera, a microphone, and a stereo speaker.
Full-HD Video Call, High quality microphone and speakers
Resolution: 1920 x 1080, Contrast Ratio: 1000:1
Camera FOV: 83°",Yealink A24,130600,169780,2021.190476,0.18,,2023-10-30 00:00:00,
2.0,"Yealink All-in-One Video Bar
Microsoft Teams Rooms System for Small Meeting Room
Package Content
• MCore Mini-PC - 8th-gen Intel QUAD-CORE i5
• MTouch II touch panel - 8-inch IPS screen, 1280 x 800 resolution
• UVC40 USB video bar - 20 MP Camera, Field of view (diagonal): 133°, Auto Framing, Speaker Tracking",MVC400-C4-000,233000,302900,3605.952381,0.18,,2023-09-11 00:00:00,
3.0,Wireless Presentation Pod,WPP30 4K,29800,38740,461.1904762,0.18,,2025-03-31 00:00:00,
4.0,Yealink Extender,MVC BYOD extender USB,30400,39520,470.4761905,0.18,,2025-05-06 00:00:00,
5.0,Yealink Meeting Bar,Yealink A20,101400,131820,1569.285714,0.18,,2023-09-30 00:00:00,
6.0,Yealink touch Panel,Yealink CTP18,31689,41195.7,490.425,0.18,,2023-09-30 00:00:00,
7.0,Room Cast  Wireless Presentation Pod.,1303108,28500,37050,441.0714286,0.18,,2025-03-03 00:00:00,
8.0,Yealink - Ceiling Microphone Array,Yealink VCM38,35880,46644,555.2857143,0.18,,2023-09-30 00:00:00,
9.0,Yealink Speaker, MS Speaker II,22000,28600,340.4761905,0.18,,2025-05-06 00:00:00,
10.0,VC System ,MCV660-C4-050,341320,443716,5282.333333,0.18,,2023-09-30 00:00:00,
11.0,All-in-one video bar,Meeting bar A20,101400,131820,1569.285714,0.18,,2023-10-12 00:00:00,
12.0,Yealink Collaboration Touch Panel ,CTP18 Touch panel,31689,41195.7,490.425,0.18,,,
13.0,4K dual-eye tracking camera , UVC86 ,341320,443716,5282.333333,0.18,,,
14.0,Yealink A30-025 Collaboration Bar,Meeting bar A30-025,212000,275600,3280.952381,0.18,,2024-02-23 00:00:00,
15.0,Yealink A30-020 Collaboration Bar,A30-020,198000,257400,3064.285714,0.18,,2025-07-16 00:00:00,
16.0,Yealink A40-031 Collaboration Bar,A40-031,178000,231400,2754.761905,0.18,,2025-07-16 00:00:00,
17.0,Yealink A40-010 Collaboration Bar,A40-010,129000,167700,1996.428571,0.18,,2025-08-04 00:00:00,
18.0,Yealink Sharing Box,VCH51,22500,29250,348.2142857,0.18,,2025-08-04 00:00:00,
19.0,"Wireless Microphone
20ft (6m) and 360° voice pickup range,",VCM36-W,23000,29900,355.952381,0.18,,2025-07-15 00:00:00,
20.0,Yealink,A30-030,166500,216450,2576.785714,0.18,,2024-06-13 00:00:00,
21.0,Yealink Collaboration Bar Usb Video Conference,A30-010,166500,216450,2576.785714,0.18,,2025-07-16 00:00:00,
22.0,Room schduling Panel,Yealink,48000,62400,742.8571429,0.18,,2025-03-03 00:00:00,
21.0,"AIO VC System Yealink MCoreKit-C4 
(with MCore Pro  mini-PC, MTouch E2)",MVCS40-C4-000,230000,299000,3559.52381,0.18,,2025-01-02 00:00:00,
22.0,AIO VC System Yealink MCoreKit-C5,MVCS40-C5-000,260000,338000,4023.809524,0.18,,2025-01-03 00:00:00,
23.0,Yealink BYOD-Extender Plug and play.,MVC-BYOD,43000,55900,665.4761905,0.18,,2025-03-03 00:00:00,
,All-in-One Collaboration MeetingBoard , MB65-A001,325000,422500,5029.761905,0.18,,2025-05-16 00:00:00,
24.0,All-in-One Collaboration MeetingBoard ,MB86-A001,525000,682500,8125,0.18,,2025-01-02 00:00:00,
25.0,MB-FloorStand-860,3311027,42000,54600,650,0.18,,2025-03-03 00:00:00,
26.0,Yealink MVC860 Microsoft Teams Base Bundle,MVC860-C5-000,432000,561600,6685.714286,0.18,,2025-03-03 00:00:00,
27.0,AIO VC System,MVC S90-C5-004,830000,1079000,12845.2381,0.18,,2025-03-03 00:00:00,
28.0,AVHub Meeting Audio & Video Processor,AVHub,136000,176800,2104.761905,0.18,,2025-03-03 00:00:00,
