Sr No.,Description,Model No,Updated Date,Remarks
,,,,
1.0,Audio Technica - system 20 pro - handheld mic,ATW-T1402,2025-02-20,
2.0,"Audio Technica - system 20 pro - headworn 
bodypack microphone ",ATW-T1401 + ATM75/CW,2025-02-20,
3.0,Audio Technica - quad receiver ,ATW-R1440,2025-02-20,
4.0,Audio Technica - system 10 pro - Dual handheld mic,ATW-1322,2025-02-20,
5.0,Audio Technica - system 10 pro - Dual bodypack,ATW-1311,2025-02-20,
6.0,Audio Technica Headworn Module,ATM75/CW,2025-02-20,
7.0,Handheld microphone, ATW-2120C,2025-07-14,
8.0,Bodypack Microphone,ATW-2110C,2025-07-14,
9.0,Collar mic attachment,AT829CW,2025-07-14,
10.0,Head worn mic attachment,PRO92CW,2025-07-14,
11.0,UHF Wide-band Directional LPDA Antennas, ATW-A49,2025-07-14,
12.0,Antenna Combiner, ATW-SC410,2025-04-28,
13.0,Antenna Cable,RG58L- 30 M,2025-04-28,
14.0,Wireless Handheld Microphone ,ATW-13HH2,2025-04-23,
15.0,Wireless Headworn Microphone,ATW-11HH2 +PRO92CW,2025-04-23,
16.0,Wireless Lapel Microphone,ATW-11HH2 + AT829CW,2025-04-23,
17.0,Wireless Handheld Microphone System, ATW-3212/C510,2025-04-19,
18.0,Wireless Lavalier Microphone System,ATW-3211 + AT831cH,2025-04-20,
19.0,UHF Antenna Distribution System, ATW-DA49a,2025-07-14,
20.0," ATW-11HH2 - AT-One Beltpack system , ATM75/CW Cardioid 
Condenser Headworn Microphone",ATW-11HH2 + ATM75/CW,2025-04-22,
21.0,Wireless Gooseneck Mic,"ATW-T1406 + ATW-R1440 
+ U859QL + AT8153",2025-07-14,
22.0,Wired Stage Vocal Microphone,ATM510,2025-07-14,
23.0,,,,
24.0,,,,
25.0,,,,
26.0,,,,
27.0,,,,
28.0,,,,
29.0,,,,
30.0,,,,
31.0,,,,
32.0,,,,
33.0,,,,
34.0,,,,
35.0,,,,
36.0,,,,
37.0,,,,
38.0,,,,
39.0,,,,
40.0,,,,
