 C2G ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
Sr No.,Description,Model No,Updated Date,Remarks
,,,,
1,10ft3.0USB-CUSB-A M/M BLK,28833,,
2,6ft3.0USB-CUSB-A M/M BLK,28832,,
3,6.6ft (2m) USB 3.0 A Male to A Male Cable,"54171
 81678",,
4,10FT CAT6 SNAGLESS UTP CA,"27133
 83369",,
5,USB3.0 A Male to B Male Cable (2m),"54174
 81681",,
,,,,
BlackBox,,,,
,,,,
Sr No.,Description,Model No,Updated Date,Remarks
,,,,
1,"GigaTrue 3 CAT6 Ethernet Patch Cable with Lockable Connectors - Shielded, 1.5m",C6PC70S-RD-05,2024-09-08 00:00:00,
2,"GigaTrue 3 CAT6 Ethernet Patch Cable with Lockable Connectors - Shielded, 2.1m",C6PC70S-RD-07,,
3,"GigaTrue 3 Key Locking Pins red, 10-Pack - 10-Pack, Red",LP50-RD-10PK,,
4,"GigaTrue 3 Key Locking Pins red, 25-Pack - 25-pack, Red",LP50-RD-25PK,,
5,Removal Tool for LockPORT Key Locking Cables,KEY-CL,,
6,"LockPORT™ Secure RJ45 Port Locks - Red, 25-pack",PL-AB-RD-25PAK,,
7,LockPORT™ RJ45 Port Lock Removal Tool,RT-AB-CL,,
